paper_num,output
7,"{'perovskite_composition': 'Cs0.05(MA)0.16(FA)0.79Pb(I0.83Br0.17 )3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': '4-tert-butyl-benzylammonium', 'control_pce': 20.1, 'treated_pce': 23.4, 'control_voc': None, 'treated_voc': None, 'test_9': {'stability_type': 'ISOSD', 'humidity': 60.0, 'temperature': None, 'time': 1300.0, 'efficiency_cont': None, 'efficiency_tret': 90.0}}"
7,"{'perovskite_composition': 'Cs0.05(MA)0.16(FA)0.79Pb(I0.83Br0.17 )3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': 'butylammonium iodide', 'control_pce': 15.1, 'treated_pce': 15.5, 'control_voc': None, 'treated_voc': None, 'test_2': {'stability_type': 'ISOSL1', 'humidity': None, 'temperature': None, 'time': 1005.0, 'efficiency_cont': None, 'efficiency_tret': 80.0}}"
7,"{'perovskite_composition': 'Cs0.05(MA)0.16(FA)0.79Pb(I0.83Br0.17 )3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': 'benzylammonium', 'control_pce': 8.9, 'treated_pce': 9.5, 'control_voc': None, 'treated_voc': None, 'test_3': {'stability_type': 'ISOSL1', 'humidity': 50.0, 'temperature': 90.0, 'time': None, 'efficiency_cont': 0.0, 'efficiency_tret': 80.0}}"
8,"{'perovskite_composition': '(FAPbI3)0.94(MAPbBr3)0.06', 'electron_transport_layer': 'Tin Oxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '(Pyrene-1-yl)ethylammonium', 'control_pce': 19.3, 'treated_pce': 22.4, 'control_voc': 1.16, 'treated_voc': 1.17, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': 40.0, 'time': 2000.0, 'efficiency_cont': 60.0, 'efficiency_tret': 85.0}}"
8,"{'perovskite_composition': '(FAPbI3)0.94(MAPbBr3)0.06', 'electron_transport_layer': 'Tin Oxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '(Pyrene-1-yl)methylammonium', 'control_pce': 20.0, 'treated_pce': 20.9, 'control_voc': 1.16, 'treated_voc': 1.16}"
8,"{'perovskite_composition': '(FAPbI3)0.94(MAPbBr3)0.06', 'electron_transport_layer': 'Tin Oxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '(Pyrene-1-yl)ammonium', 'control_pce': 20.0, 'treated_pce': 19.5, 'control_voc': 1.16, 'treated_voc': 1.06}"
9,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': 'PCBM', 'hole_transport_layer': None, 'structure_pin_nip': None, 'passivating_molecule': '1,8-diaminooctane diiodide', 'control_pce': 14.6, 'treated_pce': 17.6, 'control_voc': None, 'treated_voc': None}"
10,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'Tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'octylammonium iodide', 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'test_6': {'stability_type': 'ISOSL3', 'humidity': None, 'temperature': 40.0, 'time': 2092.0, 'efficiency_cont': None, 'efficiency_tret': 65.1}}"
10,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'Tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'octylammonium tetrafluoroborate', 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'test_3': {'stability_type': 'ISOSL2', 'humidity': None, 'temperature': 40.0, 'time': 500.0, 'efficiency_cont': None, 'efficiency_tret': 91.5}}"
10,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'Tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'octylammonium tosylate', 'control_pce': None, 'treated_pce': 24.4, 'control_voc': None, 'treated_voc': None, 'test_2': {'stability_type': 'ISOSL3', 'humidity': None, 'temperature': 40.0, 'time': 2092.0, 'efficiency_cont': None, 'efficiency_tret': 87.0}}"
11,"{'perovskite_composition': 'FAPbI3', 'electron_transport_layer': 'Tin Oxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '2H-Benzotriazol-2-ylethylammonium bromide', 'control_pce': 20.2, 'treated_pce': 21.8, 'control_voc': 1.11, 'treated_voc': 1.16, 'test_1': {'stability_type': 'ISOSL', 'humidity': None, 'temperature': None, 'time': 24.0, 'efficiency_cont': 98.0, 'efficiency_tret': 104.0}}"
12,"{'perovskite_composition': 'FA0.83Cs0.17)0.95Pb(I0.8Br0.2)3', 'electron_transport_layer': 'Tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'n-butylammonium bromide', 'control_pce': 17.5, 'treated_pce': 19.8, 'control_voc': 1.24, 'treated_voc': 1.31}"
13,"{'perovskite_composition': 'Cs0.12FA0.8MA0.08PbI1.8Br1', 'electron_transport_layer': 'PCBM', 'hole_transport_layer': '2PACz', 'structure_pin_nip': 'PIN', 'passivating_molecule': '2-thiopheneethylammonium chloride', 'control_pce': 13.1, 'treated_pce': 23.8, 'control_voc': 1.19, 'treated_voc': 1.29, 'test_1': {'stability_type': 'ISOST', 'humidity': None, 'temperature': 60.0, 'time': 265.0, 'efficiency_cont': 82.0, 'efficiency_tret': 92.0}, 'test_2': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 195.0, 'efficiency_cont': None, 'efficiency_tret': 80.0}}"
14,"{'perovskite_composition': '2-phenylethylammonium iodide', 'electron_transport_layer': '6] -phenyl-C 60 -butyric acid methyl ester,[6', 'hole_transport_layer': '4,6-trimethylphenyl) amine],poly[bis(4-phenyl) (2', 'structure_pin_nip': 'PIN', 'passivating_molecule': '4-fluorophenylethylammonium iodide', 'control_pce': 21.5, 'treated_pce': 23.7, 'control_voc': 1.1, 'treated_voc': 1.16, 'test_1': {'stability_type': 'ISOSL', 'humidity': None, 'temperature': None, 'time': 33.0, 'efficiency_cont': 90.0, 'efficiency_tret': 100.0}}"
15,"{'perovskite_composition': 'Cs0.05(FA5/6MA1/6)0.95Pb(I0.9Br0.1)3', 'electron_transport_layer': 'PCBM', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'passivating_molecule': '4-fluoro-phenylethylammonium iodide', 'control_pce': None, 'treated_pce': 23.2, 'control_voc': 1.1, 'treated_voc': 1.16}"
15,"{'perovskite_composition': 'Cs0.05(FA5/6MA1/6)0.95Pb(I0.9Br0.1)3', 'electron_transport_layer': 'PCBM', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'passivating_molecule': '4-chloro-phenylethylammonium iodide', 'control_pce': None, 'treated_pce': 23.3, 'control_voc': 1.1, 'treated_voc': 1.15}"
16,"{'perovskite_composition': 'FAPbI3', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '(3-(Trifluoromethyl)phenyl)ethylamine hydroiodide', 'control_pce': 18.8, 'treated_pce': 21.0, 'control_voc': 1.04, 'treated_voc': 1.11}"
17,"{'perovskite_composition': 'Cs0.05FA0.81MA0.14PbI2.55Br0.45', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'hexyltrimethylammounium bromide', 'control_pce': 20.0, 'treated_pce': 20.9, 'control_voc': 1.16, 'treated_voc': 1.19, 'test_1': {'stability_type': 'ISOSL', 'humidity': None, 'temperature': None, 'time': 48.0, 'efficiency_cont': None, 'efficiency_tret': 86.0}}"
19,"{'perovskite_composition': 'Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3\\', 'electron_transport_layer': 'C60', 'hole_transport_layer': '2PACz', 'structure_pin_nip': None, 'passivating_molecule': '3,4,5-trifluoroanilinium', 'control_pce': 21.0, 'treated_pce': 22.9, 'control_voc': 1.26, 'treated_voc': 1.27, 'test_1': {'stability_type': 'ISOSLT', 'humidity': 50.0, 'temperature': 85.0, 'time': 1560.0, 'efficiency_cont': None, 'efficiency_tret': 85.0}, 'test_2': {'stability_type': 'ISOSL3', 'humidity': 50.0, 'temperature': 85.0, 'time': 1586.0, 'efficiency_cont': None, 'efficiency_tret': 85.0}}"
21,"{'perovskite_composition': '(FAPbI3)0.92(MAPbBr3)0.08', 'electron_transport_layer': None, 'hole_transport_layer': 'spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'n-hexylammonium bromide', 'control_pce': 20.5, 'treated_pce': 22.6, 'control_voc': 1.1, 'treated_voc': 1.15, 'test_2': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 500.0, 'efficiency_cont': None, 'efficiency_tret': 85.0}}"
21,"{'perovskite_composition': '(FAPbI3)0.92(MAPbBr3)0.08', 'electron_transport_layer': None, 'hole_transport_layer': 'spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'n-butylammonium bromide', 'control_pce': 20.5, 'treated_pce': 22.6, 'control_voc': 1.1, 'treated_voc': 1.14, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 500.0, 'efficiency_cont': None, 'efficiency_tret': 85.0}}"
21,"{'perovskite_composition': '(FAPbI3)0.92(MAPbBr3)0.08', 'electron_transport_layer': None, 'hole_transport_layer': 'spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'n-octylammonium bromide', 'control_pce': 20.5, 'treated_pce': 22.6, 'control_voc': 1.1, 'treated_voc': 1.15, 'test_3': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 500.0, 'efficiency_cont': None, 'efficiency_tret': 85.0}}"
22,"{'perovskite_composition': 'FAPbI 3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': 'cyclohexylmethylammonium iodide', 'control_pce': None, 'treated_pce': 23.9, 'control_voc': None, 'treated_voc': 1.14, 'test_1': {'stability_type': 'ISOSL', 'humidity': '20-30', 'temperature': None, 'time': 2400.0, 'efficiency_cont': None, 'efficiency_tret': 95.0}, 'test_2': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 1050.0, 'efficiency_cont': None, 'efficiency_tret': 95.0}, 'test_3': {'stability_type': 'ISOSD2', 'humidity': '40+-10', 'temperature': 50.0, 'time': 500.0, 'efficiency_cont': None, 'efficiency_tret': 93.0}}"
23,"{'perovskite_composition': 'Cs0.05MA0.1FA0.85PbI3', 'electron_transport_layer': 'Tin dioxide', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': '3-fluoro-phenethylammonium iodide', 'control_pce': None, 'treated_pce': 23.9, 'control_voc': None, 'treated_voc': 1.15, 'test_1': {'stability_type': 'ISOSL1', 'humidity': 50.0, 'temperature': None, 'time': 1000.0, 'efficiency_cont': None, 'efficiency_tret': 100.0}, 'test_2': {'stability_type': 'ISOSL3', 'humidity': None, 'temperature': 65.0, 'time': 500.0, 'efficiency_cont': None, 'efficiency_tret': 92.0}}"
24,"{'perovskite_composition': 'CsPbI 3', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'copper(I) thiocyanate', 'structure_pin_nip': None, 'passivating_molecule': 'Dicesium diiodo dichloro plumbate', 'control_pce': 14.9, 'treated_pce': 17.4, 'control_voc': None, 'treated_voc': None, 'test_1': {'stability_type': 'ISOSD', 'humidity': None, 'temperature': 110.0, 'time': 2100.0, 'efficiency_cont': None, 'efficiency_tret': 80.0}}"
31,"{'perovskite_composition': 'Rb0.05Cs0.05MA0.05FA0.85Pb(I0.95Br0.05)3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'MeO-2PACZ', 'structure_pin_nip': 'PIN', 'passivating_molecule': '3-(aminomethyl)pyridine', 'control_pce': 23.3, 'treated_pce': 25.4, 'control_voc': 1.12, 'treated_voc': 1.15, 'test_3': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': 55.0, 'time': 2428.0, 'efficiency_cont': 76.0, 'efficiency_tret': 87.0}, 'test_1': {'stability_type': 'ISOSL2', 'humidity': None, 'temperature': 65.0, 'time': 1315.0, 'efficiency_cont': None, 'efficiency_tret': 90.0}, 'test_2': {'stability_type': 'ISOSD3', 'humidity': 85.0, 'temperature': 85.0, 'time': 850.0, 'efficiency_cont': None, 'efficiency_tret': 94.0}}"
36,"{'perovskite_composition': '(Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'poly(triarylamine)', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'Lithium fluoride', 'control_pce': None, 'treated_pce': 20.0, 'control_voc': None, 'treated_voc': None}"
37,"{'perovskite_composition': '(Cs0.2FA0.8Pb(I0.6Br0.4)3)', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None, 'passivating_molecule': '1,3-propylene diammonium', 'control_pce': None, 'treated_pce': 19.3, 'control_voc': 1.23, 'treated_voc': 1.33, 'test_2': {'stability_type': None, 'humidity': None, 'temperature': None, 'time': 700.0, 'efficiency_cont': None, 'efficiency_tret': 100.0}}"
39,"{'perovskite_composition': '(FAPbI 3 ) 0.87(MAPbBr3)0.13]0.92(CsPbI3)0.08', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '2-(Methylammonio)methylthiophene chloride', 'control_pce': 20.7, 'treated_pce': 19.7, 'control_voc': 1.09, 'treated_voc': 1.16}"
39,"{'perovskite_composition': '(FAPbI 3 ) 0.87(MAPbBr3)0.13]0.92(CsPbI3)0.08', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '2-(Methylammonio)methylthiophene iodide', 'control_pce': 20.7, 'treated_pce': 19.9, 'control_voc': 1.09, 'treated_voc': 1.09}"
39,"{'perovskite_composition': '(FAPbI 3 ) 0.87(MAPbBr3)0.13]0.92(CsPbI3)0.08', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '2-(Methylammonio)methylthiophene bromide', 'control_pce': 20.7, 'treated_pce': 20.8, 'control_voc': 1.09, 'treated_voc': 1.19, 'test_2': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 1000.0, 'efficiency_cont': 65.0, 'efficiency_tret': 75.0}}"
40,"{'perovskite_composition': 'Cs0.03(FA0.90MA0.10)0.97PbI3', 'electron_transport_layer': None, 'hole_transport_layer': 'PTAA', 'structure_pin_nip': None, 'passivating_molecule': 'oleylammonium iodide', 'control_pce': None, 'treated_pce': 24.3, 'control_voc': None, 'treated_voc': None, 'test_1': {'stability_type': 'ISOSD', 'humidity': 85.0, 'temperature': 85.0, 'time': 1000.0, 'efficiency_cont': None, 'efficiency_tret': 95.0}}"
42,"{'perovskite_composition': 'Cs0.05MA0.1FA0.85PbI2.7Br0.3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None, 'passivating_molecule': 'azetidinium lead iodide', 'control_pce': 19.5, 'treated_pce': 22.0, 'control_voc': 1.07, 'treated_voc': 1.14, 'test_1': {'stability_type': 'ISOSL', 'humidity': None, 'temperature': 52.0, 'time': 1000.0, 'efficiency_cont': 47.0, 'efficiency_tret': 85.0}}"
46,"{'perovskite_composition': 'CsPbI0.05[(FAPbI3)0.89(MAPbBr3)0.11]0.95', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'PIN', 'passivating_molecule': 'Lithium Fluoride', 'control_pce': 18.0, 'treated_pce': 19.2, 'control_voc': None, 'treated_voc': 1.16, 'test_1': {'stability_type': 'ISOSLT', 'humidity': 25.0, 'temperature': 25.0, 'time': 100.0, 'efficiency_cont': None, 'efficiency_tret': 99.4}}"
47,"{'perovskite_composition': 'Cs0.05FA0.81MA0.14PbI2.55Br0.45', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'lead sulfate', 'control_pce': None, 'treated_pce': 21.1, 'control_voc': 19.1, 'treated_voc': 1.16, 'test_1': {'stability_type': 'ISOSL3', 'humidity': '60+-10', 'temperature': 65.0, 'time': 1200.0, 'efficiency_cont': 47.0, 'efficiency_tret': 96.8}}"
48,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'passivating_molecule': '2-diyl),poly(1-phenylethene-1', 'control_pce': 16.9, 'treated_pce': 19.6, 'control_voc': 1.07, 'treated_voc': 1.07}"
49,"{'perovskite_composition': None, 'electron_transport_layer': 'indium tin oxide', 'hole_transport_layer': 'spiro-OMeTAD/chlorobenzene', 'structure_pin_nip': None, 'passivating_molecule': 'n-butylamine iodide', 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'test_5': {'stability_type': 'ISOST', 'humidity': None, 'temperature': 85.0, 'time': 558.0, 'efficiency_cont': None, 'efficiency_tret': 95.7}, 'test_6': {'stability_type': 'ISOSL', 'humidity': None, 'temperature': None, 'time': 1100.0, 'efficiency_cont': None, 'efficiency_tret': 96.2}}"
49,"{'perovskite_composition': None, 'electron_transport_layer': 'indium tin oxide', 'hole_transport_layer': 'spiro-OMeTAD/chlorobenzene', 'structure_pin_nip': None, 'passivating_molecule': 'n-butylamine acetate', 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'test_3': {'stability_type': 'ISOSL', 'humidity': None, 'temperature': None, 'time': 1100.0, 'efficiency_cont': None, 'efficiency_tret': 70.8}}"
50,"{'perovskite_composition': '(MA)0.14(FA)0.81(Cs)0.05Pb((I)0.85(Br)0.15)3', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'butylammonium iodide', 'control_pce': 21.0, 'treated_pce': 11.5, 'control_voc': None, 'treated_voc': None}"
50,"{'perovskite_composition': '(MA)0.14(FA)0.81(Cs)0.05Pb((I)0.85(Br)0.15)3', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'phenethylammonium iodide', 'control_pce': 21.0, 'treated_pce': 12.1, 'control_voc': None, 'treated_voc': None}"
50,"{'perovskite_composition': '(MA)0.14(FA)0.81(Cs)0.05Pb((I)0.85(Br)0.15)3', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'allylammonium iodide', 'control_pce': 21.0, 'treated_pce': 14.4, 'control_voc': None, 'treated_voc': None, 'test_2': {'stability_type': None, 'humidity': None, 'temperature': None, 'time': 650.0, 'efficiency_cont': None, 'efficiency_tret': 90.0}}"
50,"{'perovskite_composition': '(MA)0.14(FA)0.81(Cs)0.05Pb((I)0.85(Br)0.15)3', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'allylammonium iodide', 'control_pce': 21.0, 'treated_pce': 14.4, 'control_voc': None, 'treated_voc': None, 'test_2': {'stability_type': None, 'humidity': None, 'temperature': None, 'time': 650.0, 'efficiency_cont': None, 'efficiency_tret': 90.0}}"
53,"{'perovskite_composition': 'FA0.85MA0.1Cs0.05PbI2.9Br0.1', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'Dimethylpyrroline Diammonium Iodide', 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'test_4': {'stability_type': 'ISOSD', 'humidity': 85.0, 'temperature': None, 'time': 740.0, 'efficiency_cont': 27.0, 'efficiency_tret': 73.0}, 'test_6': {'stability_type': 'ISOST', 'humidity': 5.0, 'temperature': 85.0, 'time': 1008.0, 'efficiency_cont': 29.0, 'efficiency_tret': 81.0}}"
53,"{'perovskite_composition': 'FA0.85MA0.1Cs0.05PbI2.9Br0.1', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'Butane Diammonium Iodide', 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'test_3': {'stability_type': 'ISOSD', 'humidity': 85.0, 'temperature': None, 'time': 740.0, 'efficiency_cont': 27.0, 'efficiency_tret': 35.0}, 'test_5': {'stability_type': 'ISOST', 'humidity': 5.0, 'temperature': 85.0, 'time': 1008.0, 'efficiency_cont': 29.0, 'efficiency_tret': None}}"
59,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'phenethylammonium iodide', 'control_pce': 17.5, 'treated_pce': 18.6, 'control_voc': 1.16, 'treated_voc': 1.25}"
60,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '4-vinylbenzylammonium bromide', 'control_pce': 18.5, 'treated_pce': 21.7, 'control_voc': None, 'treated_voc': None}"
