passage,sentence,DOI
"All-perovskite tandem solar cells with improved grain surface passivation
We note that this requires further progress to be made in the rational molecular design of passivatorsPrevious works have designed passivating molecules based on a static picture of the interaction between passivators and perovskite surfaces  29  ; here we instead explore the dynamic process of passivator adsorption on grain surfaces using ab initio molecular dynamic simulations, an approach that guided our experimental design.","Previous works have designed passivating molecules based on a static picture of the interaction between passivators and perovskite surfaces  29  ; here we instead explore the dynamic process of passivator adsorption on grain surfaces using ab initio molecular dynamic simulations, an approach that guided our experimental design.",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Previous works have designed passivating molecules based on a static picture of the interaction between passivators and perovskite surfaces  29  ; here we instead explore the dynamic process of passivator adsorption on grain surfaces using ab initio molecular dynamic simulations, an approach that guided our experimental design.Density functional theory studies Here we investigated the passivation capability of ammonium cations for mixed Pb-Sn perovskite surfaces  [30] [31] [32]  ",Density functional theory studies Here we investigated the passivation capability of ammonium cations for mixed Pb-Sn perovskite surfaces  [30] [31] [32]  ,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Density functional theory studies Here we investigated the passivation capability of ammonium cations for mixed Pb-Sn perovskite surfaces  [30] [31] [32]  Three aromatic ammonium cations, phenethylammonium (PEA), phenylammonium (PA) and 4-trifluoromethyl-phenylammonium (CF3-PA), were selected to study how the molecular properties influence the adsorption and binding on mixed Pb-Sn perovskite surfaces (Fig","Three aromatic ammonium cations, phenethylammonium (PEA), phenylammonium (PA) and 4-trifluoromethyl-phenylammonium (CF3-PA), were selected to study how the molecular properties influence the adsorption and binding on mixed Pb-Sn perovskite surfaces (Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Three aromatic ammonium cations, phenethylammonium (PEA), phenylammonium (PA) and 4-trifluoromethyl-phenylammonium (CF3-PA), were selected to study how the molecular properties influence the adsorption and binding on mixed Pb-Sn perovskite surfaces (Fig 1a )", 1a ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 1a )The electrostatic potentials (φ max ) at the -NH 3 + side are different for the three passivators: φ max,PEA < φ max,PA < φ max,CF3-PA (Fig","The electrostatic potentials (φ max ) at the -NH 3 + side are different for the three passivators: φ max,PEA < φ max,PA < φ max,CF3-PA (Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The electrostatic potentials (φ max ) at the -NH 3 + side are different for the three passivators: φ max,PEA < φ max,PA < φ max,CF3-PA (Fig 1a )", 1a ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 1a )We posited that this electrostatic potential difference could affect the surface adsorption of ammonium cations  33  ",We posited that this electrostatic potential difference could affect the surface adsorption of ammonium cations  33  ,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We posited that this electrostatic potential difference could affect the surface adsorption of ammonium cations  33  We carried out density functional theory (DFT) simulations to study the surface adsorption and defect passivation for the three ammonium cations (see details in the Methods)",We carried out density functional theory (DFT) simulations to study the surface adsorption and defect passivation for the three ammonium cations (see details in the Methods),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We carried out density functional theory (DFT) simulations to study the surface adsorption and defect passivation for the three ammonium cations (see details in the Methods)As illustrated in Fig",As illustrated in Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
As illustrated in Fig 1b , the three passivators interact with acceptor-like defects at the Pb-Sn perovskite surfaces through ionic bonding and hydrogen bonding, and are therefore anchored on the surfaces"," 1b , the three passivators interact with acceptor-like defects at the Pb-Sn perovskite surfaces through ionic bonding and hydrogen bonding, and are therefore anchored on the surfaces",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 1b , the three passivators interact with acceptor-like defects at the Pb-Sn perovskite surfaces through ionic bonding and hydrogen bonding, and are therefore anchored on the surfacesWe note that this mechanism of passivator adsorption is distinct from that of Lewis base molecules  18  ",We note that this mechanism of passivator adsorption is distinct from that of Lewis base molecules  18  ,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We note that this mechanism of passivator adsorption is distinct from that of Lewis base molecules  18  The passivator adsorption is a dynamic process that occurs during perovskite crystallization at elevated temperatures",The passivator adsorption is a dynamic process that occurs during perovskite crystallization at elevated temperatures,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The passivator adsorption is a dynamic process that occurs during perovskite crystallization at elevated temperaturesWe first investigated, using ab initio molecular dynamics simulations, the dynamic process of passivator adsorption on the grain surface (see details in the Methods and Supplementary Fig","We first investigated, using ab initio molecular dynamics simulations, the dynamic process of passivator adsorption on the grain surface (see details in the Methods and Supplementary Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We first investigated, using ab initio molecular dynamics simulations, the dynamic process of passivator adsorption on the grain surface (see details in the Methods and Supplementary Fig 1 )", 1 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 1 )CF3-PA has the strongest tendency to anchor on the perovskite surface during film formation (at a temperature of approximately 400 K), with all 16 cations adsorbed completely on the surface (Fig","CF3-PA has the strongest tendency to anchor on the perovskite surface during film formation (at a temperature of approximately 400 K), with all 16 cations adsorbed completely on the surface (Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
CF3-PA has the strongest tendency to anchor on the perovskite surface during film formation (at a temperature of approximately 400 K), with all 16 cations adsorbed completely on the surface (Fig 1c, d )"," 1c, d )",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 1c, d )In comparison, one PA cation and three PEA cations are not adsorbed into the A-site vacancies","In comparison, one PA cation and three PEA cations are not adsorbed into the A-site vacancies",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
In comparison, one PA cation and three PEA cations are not adsorbed into the A-site vacanciesIodide ions are also seen to escape from the surface at 400 K in the PA and PEA cases (Fig",Iodide ions are also seen to escape from the surface at 400 K in the PA and PEA cases (Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Iodide ions are also seen to escape from the surface at 400 K in the PA and PEA cases (Fig 1c ), which indicates that CF3-PA not only increases the probability of adsorbed ammonium cations on the perovskite grain surface but also suppresses the formation of iodine vacancies on the surface at elevated temperatures"," 1c ), which indicates that CF3-PA not only increases the probability of adsorbed ammonium cations on the perovskite grain surface but also suppresses the formation of iodine vacancies on the surface at elevated temperatures",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 1c ), which indicates that CF3-PA not only increases the probability of adsorbed ammonium cations on the perovskite grain surface but also suppresses the formation of iodine vacancies on the surface at elevated temperaturesReduced iodide desorption may also suppress the formation of iodine interstitial (I i ) defects  34  ",Reduced iodide desorption may also suppress the formation of iodine interstitial (I i ) defects  34  ,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Reduced iodide desorption may also suppress the formation of iodine interstitial (I i ) defects  34  The binding energies (E b ) shown in Fig",The binding energies (E b ) shown in Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The binding energies (E b ) shown in Fig 1e  indicate that CF3-PA has the strongest binding with acceptor-type defects on the perovskite grain surface", 1e  indicate that CF3-PA has the strongest binding with acceptor-type defects on the perovskite grain surface,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 1e  indicate that CF3-PA has the strongest binding with acceptor-type defects on the perovskite grain surfaceThe highly electronegative fluorine atom in CF3-PA withdraws electron density strongly from the neighbouring atoms, leaving a higher electropositivity at the NH 3 + side, thus enhancing the binding with the negatively charged defects","The highly electronegative fluorine atom in CF3-PA withdraws electron density strongly from the neighbouring atoms, leaving a higher electropositivity at the NH 3 + side, thus enhancing the binding with the negatively charged defects",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The highly electronegative fluorine atom in CF3-PA withdraws electron density strongly from the neighbouring atoms, leaving a higher electropositivity at the NH 3 + side, thus enhancing the binding with the negatively charged defectsLooking at the electronic structures, one can see that the deep in-gap states from the I Sn and I Pb antisite defects are eliminated (Supplementary Fig","Looking at the electronic structures, one can see that the deep in-gap states from the I Sn and I Pb antisite defects are eliminated (Supplementary Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Looking at the electronic structures, one can see that the deep in-gap states from the I Sn and I Pb antisite defects are eliminated (Supplementary Fig 2 )", 2 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 2 )In addition, CF3-PA passivation is predicted to increase the defect formation energy of the Sn vacancy (V Sn ), reducing the numbers of vacancies (Supplementary Fig","In addition, CF3-PA passivation is predicted to increase the defect formation energy of the Sn vacancy (V Sn ), reducing the numbers of vacancies (Supplementary Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
In addition, CF3-PA passivation is predicted to increase the defect formation energy of the Sn vacancy (V Sn ), reducing the numbers of vacancies (Supplementary Fig 3 )", 3 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 3 )CF3-PA passivation also reduces the formation of donor-type defects (Supplementary Note 1 and Supplementary Figs",CF3-PA passivation also reduces the formation of donor-type defects (Supplementary Note 1 and Supplementary Figs,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
CF3-PA passivation also reduces the formation of donor-type defects (Supplementary Note 1 and Supplementary Figs 4  and 5 ).", 4  and 5 ).,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 4  and 5 ).PV performance of Pb-Sn PSCs DFT calculations indicated that CF3-PA has the potential to provide more effective grain surface passivation than does conventional PEA",PV performance of Pb-Sn PSCs DFT calculations indicated that CF3-PA has the potential to provide more effective grain surface passivation than does conventional PEA,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
PV performance of Pb-Sn PSCs DFT calculations indicated that CF3-PA has the potential to provide more effective grain surface passivation than does conventional PEATo test this idea, we fabricated mixed Pb-Sn PSCs with a thick absorber layer (approximately 1.2 μm) to evaluate the effect of passivating agents on materials and device characteristics","To test this idea, we fabricated mixed Pb-Sn PSCs with a thick absorber layer (approximately 1.2 μm) to evaluate the effect of passivating agents on materials and device characteristics",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
To test this idea, we fabricated mixed Pb-Sn PSCs with a thick absorber layer (approximately 1.2 μm) to evaluate the effect of passivating agents on materials and device characteristicsWe incorporated the passivating agents onto the grain surfaces of Pb-Sn perovskite films by adding PEA, PA and CF3-PA directly into the perovskite precursor solutions (Methods)","We incorporated the passivating agents onto the grain surfaces of Pb-Sn perovskite films by adding PEA, PA and CF3-PA directly into the perovskite precursor solutions (Methods)",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We incorporated the passivating agents onto the grain surfaces of Pb-Sn perovskite films by adding PEA, PA and CF3-PA directly into the perovskite precursor solutions (Methods)The optimal concentrations of PEA, PA and CF3-PA were 0.2, 0.3 and 0.3 mol%, respectively (Extended Data Fig","The optimal concentrations of PEA, PA and CF3-PA were 0.2, 0.3 and 0.3 mol%, respectively (Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The optimal concentrations of PEA, PA and CF3-PA were 0.2, 0.3 and 0.3 mol%, respectively (Extended Data Fig 2 )", 2 ),https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 2 )Figure  2a  and Supplementary Table  1  compare the PV parameters of the control, PEA PA and CF3-PA solar cells (15 devices for each type) with an absorber layer thickness of 1.2 μm fabricated over several identical runs","Figure  2a  and Supplementary Table  1  compare the PV parameters of the control, PEA PA and CF3-PA solar cells (15 devices for each type) with an absorber layer thickness of 1.2 μm fabricated over several identical runs",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Figure  2a  and Supplementary Table  1  compare the PV parameters of the control, PEA PA and CF3-PA solar cells (15 devices for each type) with an absorber layer thickness of 1.2 μm fabricated over several identical runsCompared with control devices, Pb-Sn PSCs with passivating agents showed improved performance across all PV parameters","Compared with control devices, Pb-Sn PSCs with passivating agents showed improved performance across all PV parameters",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Compared with control devices, Pb-Sn PSCs with passivating agents showed improved performance across all PV parametersAmong the three passivators investigated here, CF3-PA resulted in the best performance values of open-circuit voltage (V oc ), short-circuit current density (J sc ), fill factor (FF) and thus PCE","Among the three passivators investigated here, CF3-PA resulted in the best performance values of open-circuit voltage (V oc ), short-circuit current density (J sc ), fill factor (FF) and thus PCE",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
Among the three passivators investigated here, CF3-PA resulted in the best performance values of open-circuit voltage (V oc ), short-circuit current density (J sc ), fill factor (FF) and thus PCEWe also fabricated control and CF3-PA devices with a range of absorber thicknesses; the corresponding current density-voltage J-V curves and PV parameters are summarized in Fig",We also fabricated control and CF3-PA devices with a range of absorber thicknesses; the corresponding current density-voltage J-V curves and PV parameters are summarized in Fig,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
We also fabricated control and CF3-PA devices with a range of absorber thicknesses; the corresponding current density-voltage J-V curves and PV parameters are summarized in Fig 2b , Extended Data Fig"," 2b , Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 2b , Extended Data Fig 3  and Supplementary Table  2 ", 3  and Supplementary Table  2 ,https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
 3  and Supplementary Table  2 The J sc values of the CF3-PA devices increased with thickness, reaching approximately 33 mA cm -2 at a thickness of 1.2 μm","The J sc values of the CF3-PA devices increased with thickness, reaching approximately 33 mA cm -2 at a thickness of 1.2 μm",https://doi.org/10.1038/s41586-021-04372-8
"All-perovskite tandem solar cells with improved grain surface passivation
The J sc values of the CF3-PA devices increased with thickness, reaching approximately 33 mA cm -2 at a thickness of 1.2 μmThe increased J sc with thicker absorber is ascribed to higher light absorption at the near-infrared range, as indicated by the external quantum efficiency (EQE) spectra in Fig","The increased J sc with thicker absorber is ascribed to higher light absorption at the near-infrared range, as indicated by the external quantum efficiency (EQE) spectra in Fig",https://doi.org/10.1038/s41586-021-04372-8
