,perovskite_composition,passivating_molecule
137,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),anisole
138,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,n-hexylammonium bromide and n-octylammonium bromide
139,FA0.15MA0.85PbI3,benzylhydrazine (BHC)
140,MA0.7FA0.3PbI3,4-chlorophenylethylammonium iodide
141,phase-pure quantum wells,allylammonium
142,FA0.83Cs0.17Pb0.5Sn0.5I3,(PbI2)2RbCl
143,Cs0.15FA0.85MA0.1PbI2.55Br0.45,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
144,Cs0.05FA0.95PbI3,none
145,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,4-chlorophenylethylammonium iodide
146,FA0.95Cs0.05PbI3,2-TMAI
147,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,4-trifluoromethyl-phenylammonium
148,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,(BA)2PbI4
149,FA-based mixed perovskites,cross-linked polymer (CLP)
150,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
151,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,none
152,MA0.07FA0.93PbI3,4-guanidinobenzoic acid hydrochloride (GBAC)
153,CsPbI3-xBrx,Oleylammonium iodide
154,CsFAMAPbI3,CF3PEAI2D
155,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,benzene
156,formamidinium-based,CB-NH2
157,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,Cs2PbI2Cl2
158,FA-based mixed perovskites,formamidinium lead iodide (FAPbI3)
159,3D/0D perovskite,hexafluorobenzene
160,phase-pure quantum wells,formamidinium lead iodide (FAPbI3)
161,FA0.15MA0.85PbI3,Choline chloride
162,FA0.83MA0.17PbI3,4-vinylbenzylammonium bromide
163,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),phenethylammonium iodide
164,FA0.8Cs0.2Pb0.5Sn0.5I3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
165,Cs0.05FA0.95PbI3,n-hexylammonium bromide and n-octylammonium bromide
166,Cs0.2FA0.8Pb(I0.6Br0.4)3,formamidinium
167,FA1-xMAxPbI3Br0.13,4-vinylbenzylamine
168,FA0.9Cs0.1PbI3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
169,FA0.95Cs0.05PbI3,4-trifluoromethyl-phenylammonium
170,3D/CLP/2D perovskite heterostructure,oxalic acid
171,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,poly(4-vinylpyridine)
172,FA0.85Cs0.15PbI2.85I3,2-aminoindan hydrochloride
173,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,Cl-cPP and Cl-bSO
174,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,n-hexylammonium bromide and n-octylammonium bromide
175,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,lead sulfate
176,FA(MA)PbI3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
177,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),cyclohexylmethylammonium iodide
178,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,PEA2ZnX4
179,formamidinium lead iodide (FAPbI3),Oleylammonium iodide
180,"MAPbCl3, MAPbBr3, MAPbI3",phenethylammonium iodide (PEAI)
181,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,pentanamidine hydrochloride
182,formamidinium-based,allylammonium (ALA)
183,FA(MA)PbI3,"1,3-propane diammonium iodide"
184,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,2-TMAI
185,FA0.83MA0.17Pb(I0.6Br0.4)3,phenethylammonium iodide (PEAI)
186,CH3NH3PbI3,azetidinium iodide
187,FAPbI3,EDTA
188,Cs0.15FA0.85MA0.05PbI3,lead sulfate
189,FAMAPbI3 and MAPbI3 layers (two-step method),phenethylammonium iodide
190,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,CF3PEAI2D
191,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
192,Cs0.15FA0.85PbI2.55Br0.45,Al2O3
193,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,4-fluoroaniline
194,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,Al2O3
195,FA0.98Cs0.02PbI3,CB-NH2
196,Cs0.1FA0.9PbI3,hexyltrimethylammonium bromide
197,Cs0.15FA0.85MA0.05PbI3,2-TMAI
198,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,2-aminoindan hydrochloride
199,3D/0D perovskite,4-ethyl-1H-pyrrole-2-carboxylic acid
200,FAPbI3:0.95MAPbBr3:0.05,4-chlorophenylethylammonium iodide
201,FAMAPbI3 and MAPbI3 layers (two-step method),cyclohexylmethylammonium iodide
202,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,PDAI2 and 3MTPAI
203,formamidinium lead triiodide (FAPbI3),formamidinium
204,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
205,FAMAPbI3 and MAPbI3 layers (two-step method),azetidinium iodide
206,FA-based mixed perovskites,TiOxNy
207,FA0.9Cs0.1PbI3,CF3PEAI
208,FA0.85MA0.1Cs0.05PbI2.9Br0.1,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
209,Cs0.12FA0.8MA0.08PbI1.8Br1.2,lead sulfate
210,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,4-trifluoromethyl-phenylammonium
211,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,"1,3-propane diammonium iodide"
212,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,PSP
213,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,formamidinium
214,(FAPbI3)0.97(MAPbBr3)0.03,phenethylammonium iodide
215,Cs0.05FA0.81MA0.14PbI2.55Br0.45,4-vinylbenzylamine
216,Cs0.17FA0.83Pb(I0.6Br0.4)3,poly(methyl methacrylate)
217,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,(BA)2PbI4
218,Cs0.17FA0.83Pb(I0.6Br0.4)3,sulfonyl fluoride-functionalized phenethylammonium salt
219,FA0.83MA0.17PbI3,phenylethylammonium iodide
220,PEA2(CH3NH3)2Pb2I7,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
221,FA-based mixed perovskites,4-guanidinobenzoic acid hydrochloride (GBAC)
222,Cs0.05(MA0.1FA0.85)PbI3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
223,FA0.95MA0.05Pb(I0.92Br0.08)3,"N,N-dimethyl-1,3-propane diammonium diiodide"
224,formamidinium-based,3F-PEA
225,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
226,Cs0.05FA0.9MA0.05PbI2.74Br0.26,hexafluorobenzene
227,formamidinium lead iodide (FAI) based compound,2D perovskite
228,phase-pure quantum wells,4-guanidinobenzoic acid hydrochloride (GBAC)
229,FA0.98Cs0.02PbI3,allylammonium (ALA)
230,FA0.85MA0.15PbI3,octylammonium iodide
231,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,n-hexyl trimethyl ammonium bromide
232,PEA2(CH3NH3)2Pb2I7,"1,3-propane diammonium iodide"
233,MA0.07FA0.93PbI3,FA0.83Cs0.17Pb0.5Sn0.5I3
234,formamidinium-based,4-vinylbenzylammonium bromide
235,Cs0.15FA0.85MA0.05PbI3,4-trifluoromethyl-phenylammonium
236,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
237,(FAPbI3)0.97(MAPbBr3)0.03,cyclohexylmethylammonium iodide
238,Cs0.15FA0.85PbI2.55Br0.45,"PEAI, Cl-PEAI, F-PEAI"
239,3D/CLP/2D perovskite heterostructure,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
240,FA0.85MA0.1Cs0.05PbI2.9Br0.1,Cl-cPP and Cl-bSO
241,Cs0.17FA0.83Pb(I0.6Br0.4)3,formamidine acetate
242,Cs0.15FA0.85MA0.1PbI2.55Br0.45,PEA2ZnX4
243,FA0.83Cs0.17Pb0.5Sn0.5I3,none
244,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
245,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,n-butylamine acetate
246,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,ortho-(phenylene)di(ethylammonium) iodide
247,Cs0.05(MA0.1FA0.85)PbI3,Cl-cPP and Cl-bSO
248,Cs0.05FA0.95PbI3,formamidinium
249,Cs0.05MA0.05FA0.90PbI3,Chlorine-capped TiO2
250,formamidinium lead iodide,n-hexyl trimethyl ammonium bromide
251,FA0.83Cs0.17PbI3,LiF
252,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,ZrL3
253,FA0.85MA0.15PbI3,Spiro-mF
254,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,(PbI2)2RbCl
255,formamidinium lead iodide (FAI) based compound,methylamine
256,Cs0.12FA0.8MA0.08PbI1.8Br1.2,4-trifluoromethyl-phenylammonium
257,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,Chlorine-capped TiO2
258,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,formamidinium
259,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,pentanamidine hydrochloride
260,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,cross-linked polymer (CLP)
261,Cs0.1FA0.9PbI2.55Br0.45,phenethylammonium iodide
262,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,azetidinium iodide
263,formamidinium lead iodide (FAI) based compound,DTB(3%DEG)
264,FA0.83Cs0.17Pb0.5Sn0.5I3,n-hexylammonium bromide and n-octylammonium bromide
265,Cs0.05MA0.05FA0.90PbI3,isopropylammonium chloride
266,Cs0.1FA0.9PbI3,4-fluoroaniline
267,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,"b-poly(1,1-difluoroethylene) (b-pV2F)"
268,FA0.15MA0.85PbI3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
269,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,benzylhydrazine (BHC)
270,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),4-chlorophenylethylammonium iodide
271,Cs0.2FA0.8Pb(I0.6Br0.4)3,Cs2PbI2Cl2
272,MAPbI3,ferrocenyl-bis-thiophene-2-carboxylate
273,CsFAMAPbI3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
274,FA0.98Cs0.02PbI3,4-vinylbenzylammonium bromide
275,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,"N,N-dimethyl-1,3-propane diammonium diiodide"
276,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
277,MA0.07FA0.93PbI3,n-butylamine acetate
278,FA(MA)PbI3,2D perovskite
279,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,isopropylammonium chloride
280,Cs0.1FA0.9PbI2.55Br0.45,cyclohexylmethylammonium iodide
281,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,2-aminoindan hydrochloride
282,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,Chlorine-capped TiO2
283,FA0.83Cs0.17PbI3,n-hexyl trimethyl ammonium bromide
284,FA0.85MA0.15PbI3,CsMAFA-8
285,Cs0.1FA0.9PbI2.55Br0.45,azetidinium iodide
286,FAPbI3,4-ethyl-1H-pyrrole-2-carboxylic acid
287,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,PDAI2 and 3MTPAI
288,MA0.07FA0.93PbI3,anisole
289,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
290,Cs0.1FA0.9PbI3,PSP
291,FA0.82Cs0.13MA0.05PbI3,CsMAFA-8
292,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,EDAI2
293,FA0.15MA0.85PbI3,Cl-cPP and Cl-bSO
294,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,PDAI2 and 3MTPAI
295,MAPbI3,lead sulfate
296,(FAPbI3)0.95(MAPbBr3)0.05,Spiro-mF
297,phase-pure quantum wells,FA0.83Cs0.17Pb0.5Sn0.5I3
298,FA0.95Cs0.05PbI3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
299,FA-based mixed perovskites,Al2O3
300,phase-pure quantum wells,Al2O3
301,Cs0.2FA0.8Pb(I0.6Br0.4)3,CF3PEAI2D
302,MAPbI3,2-TMAI
303,MAPbI3,ZrL3
304,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,2D perovskite
305,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
306,MA0.07FA0.93PbI3,"N,N-dimethyl-1,3-propane diammonium diiodide"
307,FA(MA)PbI3,methylamine
308,Cs0.05FA0.9MA0.05PbI2.74Br0.26,CB-NH2
309,formamidinium lead iodide (FAI) based compound,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
310,formamidinium lead triiodide (FAPbI3),Cs2PbI2Cl2
311,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,CF3PEAI
312,Cs0.15FA0.85MA0.1PbI2.55Br0.45,(PbI2)2RbCl
313,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,butylamine
314,FA1-xMAxPbI3Br0.13,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
315,formamidinium lead iodide (FAPbI3),hexyltrimethylammonium bromide
316,FA(MA)PbI3,DTB(3%DEG)
317,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),Oleylammonium iodide
318,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,Cs2PbI2Cl2
319,PEA2(CH3NH3)2Pb2I7,2D perovskite
320,formamidinium lead iodide (FAPbI3),LiF
321,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,AZO/SnOx
