passivating_molecule,structure_pin_nip,perovskite_composition,perovskite_molecule,electron_transport_layer,hole_transport_layer,control_voc,test_1.temperature,test_1.control_pce,test_1.treated_voc,test_1.additive_molecule,test_1.treated_pce,test_1.stability_type,test_1.time,test_1.efficiency_cont,test_1.efficiency_tret,additive_molecule,control_element,treatment_element,treated_pce,control_pce,test_1.treatment_element,test_1.control_element,test_2.efficiency_tret,test_2.time,test_2.stability_type,test_2.treatment_element,test_2.control_element,test_2.efficiency_cont,test_3.electron_transport_layer,test_3.humidity,test_3.time,test_3.treatment_element,test_3.efficiency_tret,test_3.control_element,test_3.efficiency_cont,performance_1.electron_transport_layer,performance_1.treated_pce,treated_voc,test_1.passivating_molecule,performance_1.passivating_molecule,performance_1.treatment_element,performance_2.treated_pce,performance_2.passivating_molecule,performance_3.treated_pce,performance_3.passivating_molecule,performance_1.treated_voc,test_1.humidity,efficiency_tret,test_2.temperature,time,test_1.hole_transport_layer,test_3.stability_type,test_3.temperature,test_2.humidity,test_2.treated_pce,test_1.electron_transport_layer,test_1.perovskite_composition,test_2.additive_molecule,performance_1.control_pce,performance_1.additive_molecule,performance_2.additive_molecule,performance_3.treatment_element,test_1.control_voc,stability_type,test_2.passivating_molecule,performance_2.control_pce,performance_2.control_element,performance_2.treatment_element,test_2.control_pce,test_3.passivating_molecule,metal_contact,temperature,test_1.perovskite_molecule,humidity,performance_3.control_element,performance_3.control_pce,performance_1.control_element,performance_1.control_voc
,PIN,,,,"['Spiro-OMeTAD', 'polymeric poly(4-vinylpyridine)']",,25-40,,,,20.6,ISOSL,6000,,0.8,,,,20.6,19.11,,,0.9,700,ISOSLT,,,0.8,,,300,polymeric poly(4-vinylpyridine),0.8,,,,,,,,,,,,,,25-50,0.8,,6000,polymeric poly(4-vinylpyridine),ISOST,85,,,,,,,,,,,,,,,,,,,,,,,,,
"3,4,5-trifluoroanilinium",,"['Cs 0.05 MA 0.05 FA 0.9 Pb(I 0.95 Br 0.05 ) 3', 'Cs 0.05 MA 0.15 FA 0.8 PbI 3']",,C60,2PACz,1.269,85,,,,24.09%,ISOSLT,1560,,,,,,,21,,,0.84,1586,ISOSL,,,,,,,,,,,,,1.271,fluorinated aniliniums,,,,,,,,50,,85,,,,,50,21.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,250,,,,,ISOSLT,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polybisphenyl(trimethylphenyl)amine,,,,,TinOxide,FA0.83Cs0.17PbI2.7Br0.3,,,,,,,,,,,,,,,,,,,,,
,,"['alpha phase formamidinium lead iodide', '[(FAPbI 3 ) 0.95 (MAPbBr 3 ) 0.05 ]']",,,,,,,,,23.7,ISOSO,600,,0.9,methylenediammonium dichloride,,,,,methylenediammonium dichloride,,0.9,,,,,0.4,,25,,,0.9,,0.2,,,,,,,,,,,,,,25,,,ISOST,150,85,,,,ISOSD,,,,,,,,,,,,,,,,,,,,
,NIP,methylammonium lead iodide,,,Spiro-OMeTAD,,,,,,,ISOSLT,4,0.3,0.95,FN-Br,,,21.54,,FN-Br/FK209,TBP/LiTFSI doped spiro-OMeTAD,,,,,,,,,,,,,,,19.31,,,,FN-Br,,,,,,60,0.92,,,,,,,,,,,17.29,,,,,,,,,,,,,,,,,,,
"['NOTE:Assume tinacetylacetonate is additive', 'fluorine-doped SnO 2 (FTO)/c-TiO 2 /SnO 2 / perovskite/spiro-OMeTAD/gold']",,(FAPbI3)0.85(MAPbBr3)0.15,,,Spiro-OMeTAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.12,,,,,20,,22.19,,,,,,,,,,,,,,,,Chlorine,Bromide,c-TiO 2 /Cl 2,,,,,,,,,,,,,,,,
"['chlorophenylethylammonium iodide', 'fluorophenylethylammonium iodide']",PIN,"['Cs 0.1 FA 0.9 PbI 2.9 Br 0.1', 'Cs 0.05 (FA 5/6 MA 1/6 ) 0.95 Pb(I 0.85 Br 0.15 ) 3']",,PCBM,PTAA,,,21.58,,,,ISOSL,33,0.9,1,,,phenethylammonium iodide,23.7,,phenethylammonium iodide,,,,,,,,,,,,,,,,,1.184,,,,,,,,,,,,,,,,,,,,,,,,,1.109,,,,,,,,,,,,,,,
poly(methyl methacrylate),NIP,,,TitaniumDioxide,Spiro-OMeTAD,,,,1.14,,21.6,ISOSD,,,96.7,"['dimethylformamide', 'dimethyl sulfoxide (DMSO']",,,,,poly(methyl methacrylate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIN,Cs 0.05 (FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,,,,,,,,,21.6,,1000,0.58,1,,,anchoring alkylamine ligands,22.3,20.5,anchoring alkylamine ligands,,0.9,1020,,anchoring alkylamine ligands,,,,,,,,,,,22,,ISOSLT,oleylamine,,21.2,,,,,,1,85,1000,,,,,,,,,,,,,,ISOSLT,ISOST,19.2,pristine CsFAMA,CsFAMA device with AALs.,,,,,,,,,,
NOTE:Paper about expaning high efficiency in larger areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['ortho-(phenylene)di(ethylammonium) iodide', 'lightsoaking conditions', 'spiro-OMeTAD']",NIP,,,,Spiro-OMeTAD,1.135,,20.82,,,22.65,,1008,0.58,0.85,,,,23.9,21.94,,,0.75,1000,ISOST,ortho-(phenylene)di(ethylammonium) iodide,,0.51,,,1100,ortho-(phenylene)di(ethylammonium) iodide,0.9,,0.6,,,1.157,,,,,,,,,40-50,,85,1000,,,,,,,,,,,,,,,22.38,,,,20.32,ISOSLT,,,,,,,,
DMePDAI 2,NIP,FA0.85MA0.1Cs0.05PbI2.9Br0.1,,"['TitaniumDioxide', 'SnO 2']",Spiro-OMeTAD,,40,22.0,,,24.7,ISOSL1,1000,0.57,0.9,,,"['DMePDAPbI4', 'BDAI2']",,,DMePDAI 2,,0.73,740,ISOSD,,,0.27,,5,1008,DMePDAPbI4,0.81,,0.29,,,,,,,,,,,,,0.53,,,,ISOST,85,85,,,FA0.97MA0.03PbI2.91Br0.09,,,,,,,,,,,,,,,,,,,,,
,NIP,,,,,,,,,,,ISOSL,1000,,0.92,,,,21.52,,,,0.91,,ISOST,Eu 3+ -Eu 2+,,,,,,,,,,,,,europium ion pair,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:Efficiency and PCE were not observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:This is about treatment of perovskite surface,maybe skip??",,,,,,,,,,,,,,,,,,Polishing of Perovskite Surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PTAA,,85,,,,24.3,ISOSD,1000,,0.95,,,,,,oleylammonium iodide,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIN,,,TitaniumDioxide,Spiro-OMeTAD,,25,17.39,,,20.27,ISOSD,792,0.94,0.96,,,,,,MAPbI 3 homojunction,MAPbI 3 standard,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE:This paper is about understanig the mechanism of already investigated ETL structure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Iodide,NIP,(FAPbI3)0.97(MAPbBr3)0.03,"['Formamidinium Lead Iodide', 'MAPbBr 3']","['TinOxide', 'TiO 2']",Spiro-OMeTAD,,28,18.5,1.09,,20.51,ISOSL,,,,,,,20.51,,TinOxide,TitaniumDioxide,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NIP,Cs 0.05 FA 0.81 MA 0.14 PbI 2.55 Br 0.45,,SnO 2,PTAA,1.16,,,,,18.5,ISOSL,48,,0.86,,without HTAB,hexyltrimethyl ammouniumbromide,20.94,20.04,hexyltrimethyl ammouniumbromide,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NIP,FA0.83MA0.17Pb-(I0.83Br0.17)3,,TinOxide,Spiro-OMeTAD,,75,,,,19.4,ISOST,,,,,,,20.6,,Cr/Au,,,15,ISOST,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,17.7,,,,,,,,,,,,,,,,"['Chromium', 'gold', 'Ag']",,,,,,,
,,( C6H5(CH2)2NH3+) 2 (MA) 2 [Pb 3 I 10 ],,,Spiro-OMeTAD,,,,,,,,,,,NOTE:Tackling PCE improvement under humidity,,,4.73,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,NOTE:I think I need help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NIP,"['CsFAMA', 'CaFAMA-F']","['caesium', 'methylammonium (MA)', 'formamidinium (FA)']",,,,,19.03,,,21.46,ISOSL,,,0.9,"['alkali halide, NaX (X = I, Br, Cl or F)', 'fluoride-containing material']",,,"['21.46', '20.56']",48.86,fluoride-containing perovskite,CsFAMA,0.9,"1,000",ISOST,CsFAMA-F,CsFAMA,0.5,,0.25-0.45,"6,000",CsFAMA-F,0.9,,,,,,,,,,,,,,,0.9,85,"1,000",,ISOSD,,,,,,,,,,,,,,,,,,,,25-40,,,,,,
,NIP,(FAPbI 3 ) 0.85 (MAPbBr 3 ) 0.15,"['MA +', 'MAPbI 3']",,Spiro-OMeTAD,,,,,,,,,,,,,,"['20.7', '19.8']",18.7,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azetidinium lead iodide,secondary perovskite growth,Cs 0.05 MA 0.1 FA 0.85 PbI 2.7 Br 0.3,,,,1.07,52,,,,,ISOSL,1000,0.47,0.85,,,,22.4,,azetidinium lead iodide,,,,,,,,,,,,,,,,,"['1.18', '1.14']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(phenethylamino)methaniminium iodide,PIN,FA0.9Cs0.1Pb3,,,,,90,,,,,ISOSLT,1500,,0.9,(phenethylamino)methaniminium,without PEAMAI,PEAMA + device,24.1,21.2,(phenethylamino)methaniminium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,
,NIP,HTAB 0.3 (FAPbI 3 ) 0.95 (MAPbBr 3 ) 0.05,,,Poly(3-hexylthiophene),,,,,,,ISOSL,1370,,0.95,,,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,HTAB,,,,,
NOTE:NO PCE / Efficiency,,methylammonium lead iodide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NIP,"['Cs0.05(MA0.85FA0.15)0.95Pb(I0.85Br0.15)3', 'BA2MA3PbI13']",FAPbI3,,,,,,,,,,,,,,,,20.87,,,,,,,,,,,,,,,,,,,1.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butylammonium bromide,NIP,Cs0.15FA0.85PbI2.19Br0.81,,,Spiro-OMeTAD,"['1.24', '17.5']",,,,,,ISOSL,20,,exhibit stable V OC over time,,,,19.8,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Formamidinium Lead Iodide,,,,25,,,,,ISOSL,"1,200",,0.9,"['methylammonium chloride', 'MA-40']",,,"['23.36', '24.02']",,methylammonium chloride - 40%,,0.9,300,ISOST,methylammonium chloride - 40%,methylammonium chloride,0.6,,,,,,,,,,1.130,,,,,,,,,25,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['quanternary ammonium halides', 'PCBM']",PIN,,,,,1.04,room temperature,,,,,ISOSD,800,0.7,1,CH 3 NH 3 PbI 3,,,20.59,17.1,choline chloride layers,L-α-phosphatidylcholin,0.86,26,ISOSL,choline chloride,,,,,,,,,,,,,,,,,,,,,55-85,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,,,
"['butylammonium iodide', 'octylammonium iodide', 'dodecylammonium iodide']",,(FAPbI3)0.95(MAPbBr3)0.05,,TitaniumDioxide,"['DM', 'Spiro-OMeTAD']",,25,,,,,,,,0.8,,,,,,,,0.9,100,ISOSD,dodecylammonium iodide,butylammonium iodide,0.2,,,,,,,,,22.9,,,octylammonium iodide,,15.1,dodecylammonium iodide,23.3,oleylammonium iodide,,85,,65,,,,,65,,,,,,,,,,,,5.9,,,,,,,,,,,,
,,"['Cs0.05FA0.81MA0.14PbI2.55Br0.45', 'MAPbI3']",,,PTAA,,65,18.2,,,24.2,ISOSLT,1200,,0.968,capping lead oxysalt thin layers,,,,,CsFAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISOSLT,,,,,,,,65,,60,,,,
4-chlorobenzenesulfonate (4Cl-BZS),PIN,Cs 0.05 FA 0.85 MA 0.1 PbI 3,,C60,2PACz and Me-4PACz,,65,,,,,ISOSL,1200,,95%,,,,26.9,24,4-chlorobenzenesulfonate (4Cl-BZS),,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(BA)2(MA)3Pb4I13,,"NOTE:2D Perovskite seems backward,minimum information as well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-thiopheneethylammonium chloride,PIN,Cs 0.12 FA 0.8 MA 0.08 PbI 1.8 Br 1.,,PCBM,,,60,,1.29,,23.8,ISOST,265,0.82,0.92,,,,,,2-thiopheneethylammonium chloride,without TEACl PDT,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIN,,,"['MAPI', 'fullerene', 'bathocuproine']","['molybdenum oxide', 'TaTm']",,,,,,,,,,,PAPER THE FAILED??,,,,,,,,,,,,,,,,,,,,,13.9,,,,2D/MAPI/2D,18.3,,17.0,,,,,,,,,,,,,,,,,,MAPI/2D,,,,,,2D/MAPI,,,,,,,MAPI,18.6,,
,NIP,,,,,,25,,,,,ISOSL,,,0.87,"['diethylene glycol', '3%', '10%']",,0%,"['20.10', '19.90', '16.71%']",19.09,,,,,,,,,,,,,,,,,16.78,,,,3% diethylene glycol,,,,,,20-30,0.9225,,720,,,,,,,,,18.57,10% diethylene glycol,,,,,,,,,,,,,,,,,0%,
,,,,,,,,,,,,,,,,NOTE:Not on molecule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NIP,(FAPbI 3 ) 0.95 (MAPbBr 3 ) 0.05,,,Spiro-OMeTAD,,60,,,,23.2,ISOST,,0.95,,,,,,,,,0.926,310,ISOSL,DM,,,,,,,,,,,,,,,,,,,,,,,,,Spiro-OMeTAD,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['phenethylammonium iodide', 'glass/ITO/PTAA/FA 0.8 Cs 0.2 Pb-(I 0.7 Br 0.3 ) 3 /C 60 /bathocuproine (BCP)/Ag']",poly(triarylamine) (PTAA)/ indium tin oxide (ITO)/glass substrates,"['FA 0.8 Cs 0.2 Pb(I 0.7 Br 0.3 ) 3', 'MAPbI 3']",,,,1.16,,,,,,,,,,Pb(SCN) 2,,,"['19.07', '18.6%']",17.5,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorine-rich mixed-halide perovskite interlayer,NIP,,,"['TitaniumDioxide', 'SnO 2']",,,,,,,21.01,ISOSO,180,0,0.94,,,,,18.08,,,0.82,500,,chlorine-rich mixed-halide perovskite interlayer,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,ISOSLT,,,,,,,,,,,,,
methylammonium lead iodide,NIP,,,,,,85,,,,,ISOST,125,,0.6,butylamine vapor,,,,,,,0.92,600,,butylamine vapor,,,,,,,,,,,,,,,,,,,,,30,,room temperature,,,,,40,,,,ISOSL,,,,,,,,,,,,,,,,,,,,
,NIP,formamidinium lead iodide,,,,,,,,,,,,,,"['dimethylsulfoxide', 'PbI2-(DMSO)']",,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['3,5-bis(trifluoromethyl) phenethylammonium iodide', '2CF 3 -PEAI']","['NIP', 'p-i-n']",,,,,,50,21.4,,,23.6,ISOSLT,1800,0.672,0.821,dibutyl sulfoxide,,,25.1%,,CF3 -PEAI,pristine perovskite films,0.911,1000,ISOSD,CF3 -PEAI,pristine perovskite,0.713,,,,,,,,,22.6,,,,10% DBSO,,,,,1.091,50,0.982,85,1000,,,,85,24.8,,,,,,,,,ISOSD,,,,,,,,85,,,,,0% DBSO,1.024
PCBM,PIN,CH3NH3PbI3,,"['TinOxide', 'Al:ZnO']",,,25,,,,,,1000,0,0.9,,Tin Oxide Grown by B-ALD,Tin Oxide Grown by S-ALD,,,SnO x has been grown at 20 mm s -1,SnO x grown at a substrate speed of 80 mm s -1,,,,,,,,,,,,,,,,,,,,,,,,,60,,,"['1000', '3000 h']",,,,,,,,,,,,,,ISOSL,,,,,,,,60,,,,,,
"['Lithium Fluoride', 'poly[(9,9-bis(30-((N,N-dimethyl)-N-ethylammonium)-propyl)-2,7-fluorene)alt-2,7-(9,9-dioctylfluorene)] dibromide']",PIN,CsPbI 0.05 [(FAPbI 3 ) 0.89 (MAPbBr 3 ) 0.11 ] 0.95,,,,,,,,,19.6,ISOSLT,100,,0.6,,,,,,PFN-P2,,,,,,,,,,,,,,,,,1.16 V,1.143,,,,,,,,25,,,100,,,,,,,,,,,,,,ISOSLT,,,,,,,,,,,,,,
,NIP,FA0.83Cs0.17Pb0.5Sn0.5I3,,TitaniumDioxide,Spiro-OMeTAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['octylammonium tosylate', 'OABF4', 'intermediate negative ΔE vac']",NIP,(FAPbI3)0.95(MAPbBr3)0.05,"['formamidinium', 'methylammonium']",TinOxide,"['Spiro-OMeTAD', 'spiro-MeOTAD']",,40,,,,,ISOSL,500,,0.915,,,,24.41,,OATsO,,,,,,,,,,,,,,,,,,OABF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NIP,,,"['BaSnO3', 'Li-doped TiO 2', 'TiO 2']",,,,,,,,ISOSL,,0.5,0.9,,,,21.3,20,mp-BSO,mp-TiO 2,1,500,ISOSD,,,,ISOSLT,,,BSO-based,0.67,,,,,,,,,,,,,,40,,25,,,,450,25,,24,,,,,,,,,,,,,,,,,,,,,,
"['n-butylamine acetate', 'n-butylamine iodide']",,,,indium tin oxide,"['Spiro-OMeTAD', 'spiro-OMeTAD/chlorobenzene']",,,,,,,ISOSL,4680,0.506,0.938,,,,16.25,,QW device,MQW device,0.957,558,ISOST,,,0.591,,,1100,QW device,0.962,MQW device,0.708,,,1.31,,,,,,,,,65,,85,,,ISOSL,,,,,,,,,,,,,,,,,,,,,,,,,,
