Unnamed: 0,perovskite_composition,electron_transport_layer,pin_nip_structure,hole_transport_layer,passivating_molecule,control_pce,control_voc,treated_pce,treated_voc,test_1,test_2,structure_pin_nip,treated_jsc,treated_ff,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,control_jsc,control_ff,control_pec,treated_eqe,treated_stabilized_pce,control_fill_factor,treated_fill_factor,controljsc,treatedjsc,treated_hysteresis_index,binding_energy,fill_factor,treated_iscc,IUPAC_passivator,passivator_smiles
98,,,,,ZnO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc oxide,[O-2].[Zn+2]
106,,,,,Guanidinium Chloride (GACl),,,6.61,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 0.7000000000000001, 'humidity': 60, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Guanidinium chloride,[Cl-].NC(=[NH2+])N
113,Cs0.15FA0.85PbI3,ITO,PIN,MeO-2PACz,PEAI,19.53,1.04,22.07,1.1,"{'test_name': 'ISOS-T', 'temperature': 25, 'time': 1250, 'humidity': 55, 'retained_percentage_cont': 42, 'retained_percentage_tret': 94}",,,,,,,,,,,,,,,,,,,,,,,,,,Phenylethylammonium iodide,[I-].C1(=CC=CC=C1)CC[NH3+]
117,CsPbBr3,,,,Ethyl trifluoroacetate (ETFA),,,4.14,,"{'test_name': 'Stability test via time-dependent PL', 'temperature': None, 'time': 316, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Ethyl trifluoroacetate,FC(C(=O)OCC)(F)F
118,,,,,Oleic acid (OA),,,,,"{'test_name': 'Air stability test', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 31.33, 'retained_percentage_tret': 31.33}","{'test_name': 'Water stability test', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 79, 'retained_percentage_tret': 76}",,,,,,,,,,,,,,,,,,,,,,,,,octadec-9-enoic acid,C(CCCCCCCC=CCCCCCCCC)(=O)O
120,CsPbI2Br,,,,4-Methoxybenzenethiol (MeOBT),8.92,1.15,14.08,1.27,"{'test_name': 'Ambient stability test', 'temperature': 25, 'time': 480, 'humidity': 30, 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,4-methoxybenzenethiol,COC1=CC=C(C=C1)S
122,,,,,n-octylammonium bromide (OABr),,,23.6,,"{'test_name': None, 'temperature': 25, 'time': 1500, 'humidity': None, 'retained_percentage_cont': 80.2, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,n-octylammonium bromide,[Br-].C(CCCCCCC)[NH3+]
124,CsPbBr1.5I1.5,,,,Sodium dodecyl sulfate (SDS),,,,,"{'test_name': 'ISOS-D', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 56, 'retained_percentage_tret': 56}",,,,,,,,,,,,,,,,,,,,,,,,,,sodium dodecyl sulfate,S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+]
125,,,,,1-aminoethyl-3-methylimidazolium tetrafluoroborate (AMFB),22.16,1.09,24.41,1.16,"{'test_name': 'Thermal stability test', 'temperature': 85, 'time': 1500, 'humidity': 'Moist air with 70 ± 5% RH', 'retained_percentage_cont': 90, 'retained_percentage_tret': 90}",,,,83.13,,,,,,,,,,,,,,,,,,,,,,1-aminoethyl-3-methylimidazolium tetrafluoroborate,F[B-](F)(F)F.NC(C)C=1NC=C[N+]1C
131,,,,,4-trifluoromethyl phenylammonium iodide (CFPA),11.22,0.96,14.37,1.1,"{'test_name': 'Accelerated aging test', 'temperature': None, 'time': 1992, 'humidity': None, 'retained_percentage_cont': 85.5, 'retained_percentage_tret': 96.2}",,,,,,,,,,,,,,,,,,,,,,,,,,4-Trifluoromethylphenylammonium iodide,[I-].FC(C1=CC=C(C=C1)[NH3+])(F)F
135,Cs0.05 FA0.83 MA0.17 Pb(I0.83 Br0.17)3,NiO,PIN,C60,1-(2-methoxyethyl)-1-methylpiperidinium thiocyanate (MMP-SCN),17.7,1.1,20.24,1.14,"{'test_name': 'MPPT under AM 1.5G 1 SUN illumination', 'temperature': 25, 'time': 1000, 'humidity': 'ambient air', 'retained_percentage_cont': 51.1, 'retained_percentage_tret': 91.5}",,,,,,,,,,,,,,,,,,,,,,,,,,1-(2-methoxyethyl)-1-methylpiperidinium thiocyanate,[S-]C#N.COCC[N+]1(CCCCC1)C
136,,,,,Carbon,,823.9,16.0,,"{'test_name': 'ISOS', 'temperature': 60, 'time': 10000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,carbon,[C]
137,,,,,4-Fluorophenylethylammonium iodide (F-DP),18.7,1.14,22.13,1.23,"{'test_name': 'ISOS-L', 'temperature': 80, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 56, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,,2-(4-Fluorophenyl)ethylammonium iodide,[I-].FC1=CC=C(C=C1)CC[NH3+]
142,CsPbBr3,SnO2,,,CsCl,,,11.16,1.6800000000000002,"{'test_name': 'Light operational stability', 'temperature': 1000, 'time': '1000 h', 'humidity': None, 'retained_percentage_cont': 10.92, 'retained_percentage_tret': None}","{'test_name': 'Thermal stability', 'temperature': 85, 'time': '1000 h', 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 11.04}",,,,,,,,,,,,,,,,,,,,,,,,,cesium chloride,[Cl-].[Cs+]
145,,,,,FASnI3,,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 96, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,Formamidinium tin triiodide,[Sn+](I)(I)I.C(=[NH2+])N
147,,,,,tert-butyl pyridine (TBP),,,,,"{'test_name': 'ISOS-D', 'temperature': 85, 'time': 750, 'humidity': None, 'retained_percentage_cont': 90.9, 'retained_percentage_tret': None}","{'test_name': 'ISOS-L', 'temperature': 1000, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 95, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,2-tert-Butylpyridine,C(C)(C)(C)C1=NC=CC=C1
157,FAPbI3,SnO2,NIP,Spiro-OMeTAD,HCOO⁻,22.15,1.1,24.32,1.17,"{'test_name': 'Stability under air with 35 ± 10% humidity', 'temperature': 25, 'time': 500, 'humidity': 35, 'retained_percentage_cont': 25, 'retained_percentage_tret': 85}","{'test_name': 'Stability under continuous illumination', 'temperature': 25, 'time': 300, 'humidity': 0, 'retained_percentage_cont': 19.72, 'retained_percentage_tret': 90}",,,,"{'test_name': 'Thermal stability', 'temperature': 65, 'time': 500, 'humidity': 0, 'retained_percentage_cont': 50, 'retained_percentage_tret': 70}",,,,,,,,,,,,,,,,,,,,,Formate,C(=O)[O-]
162,,,,,2-(9 H-carbazol-9-yl)ethyl]phosphonic acid (2PACz),26.1,1761.0,28.8,1859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2-(9H-carbazol-9-yl)ethylphosphonic acid,C1=CC=CC=2C3=CC=CC=C3N(C12)CCP(O)(O)=O
165,,,,,4-hydroxy-4'-biphenylcarboxylic acid ethyl ester (EHBC),23.04,1.123,24.48,1.16,"{'test_name': 'Stability test', 'temperature': 30, 'time': 700, 'humidity': 35, 'retained_percentage_cont': 30, 'retained_percentage_tret': 69}",,,,,,,,,,,,,,,,,,,,,,,,,,Ethyl 4-(4-hydroxyphenyl)benzoate,OC1=CC=C(C=C1)C1=CC=C(C(=O)OCC)C=C1
166,FAPbBr3,FTO/Nb:TiO2/SnO2,NIP,ITO,iso-Pentylammonium chloride,4.2,1.41,7.25,1.73,"{'test_name': 'ISOS-L', 'temperature': 50, 'time': 400, 'humidity': None, 'retained_percentage_cont': 98.7, 'retained_percentage_tret': 98.7}",,,,,,,,,,,,,,,,,,,,,,,,,,3-methylbutylammonium chloride,[Cl-].CC(CC[NH3+])C
167,,,,,Tris(pentafluorophenyl)borane (TFB),20.22,1.094,22.56,1.133,"{'test_name': 'Stability test under ~45% RH', 'temperature': None, 'time': 1900, 'humidity': '45', 'retained_percentage_cont': None, 'retained_percentage_tret': 91}",,,,,,,,,,,,,,,,,,,,,,,,,,Tris(pentafluorophenyl)borane,FC1=C(C(=C(C(=C1B(C1=C(C(=C(C(=C1F)F)F)F)F)C1=C(C(=C(C(=C1F)F)F)F)F)F)F)F)F
168,,,,,NdF3,,,,,"{'test_name': 'air_stability', 'temperature': 1400, 'time': '1400 h', 'humidity': None, 'retained_percentage_cont': 87.5, 'retained_percentage_tret': None}","{'test_name': 'thermal_aging', 'temperature': 120, 'time': 400, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,"{'test_name': 'light_soaking', 'temperature': 45, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 52, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,neodymium trifluoride,[F-].[F-].[F-].[Nd+3]
171,CsPbBr3,,,,Oleylamine and Oleic Acid,,,,,"{'test_name': 'Stability test', 'temperature': None, 'time': '3 weeks', 'humidity': 'ambient', 'retained_percentage_cont': None, 'retained_percentage_tret': 'Excellent colloidal stability'}",,,,,,,,,,,,,,,,,,,,,,,,,,,C(CCCCCCC\C=C/CCCCCCCC)(=O)O.C(CCCCCCC\C=C/CCCCCCCC)N
174,CsSnI3,TiO2,,spiro-OMeTAD,ZnO,9.43,0.64,16.26,0.7000000000000001,"{'test_name': 'Stability test', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Zinc oxide,[O-2].[Zn+2]
175,,,,,1-(2-thiophene)ethylamine hydrochloride (𝛼-TEACl),14.02,0.95,,,"{'test_name': 'Long-term stability', 'temperature': 25, 'time': '2000 hours', 'humidity': None, 'retained_percentage_cont': 92.31, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,1-(thiophen-2-yl)ethanaminium chloride,[Cl-].S1C(=CC=C1)C(C)[NH3+]
176,,Aluminum-doped zinc oxide (AZO),,,Mono-ethanolamine (MEA),5.35,0.72,7.45,0.74,"{'test_name': 'Stability test', 'temperature': None, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 70, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,2-Aminoethanol,NCCO
182,MAPbI3,TiO2,NIP,Carbon,1-ethyl-3-methylimidazolium acetate (EMIMAc),14.2,,17.07,,"{'test_name': 'Stability test', 'temperature': 'Room temperature', 'time': '30 days', 'humidity': '20%-60% relative humidity', 'retained_percentage_cont': 69, 'retained_percentage_tret': 89}",,,,,,,,,,,,,,,,,,,,,,,,,,1-Ethyl-3-methylimidazolium acetate,C(C)(=O)[O-].C(C)N1C=[N+](C=C1)C
185,Cs 0.05 MA 0.35 FA 0.6 PbI 3,SnO2,PIN,Spiro-OMeTAD,formamidine iodide (FAI),18.63,1.05,19.35,1.06,"{'test_name': 'stability', 'temperature': '20 ± 5 °C', 'time': '76 days', 'humidity': '<5% RH', 'retained_percentage_cont': 91, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,formamidine iodide,[I-].C(=N)N
187,FA0.98MA0.02)0.95Cs0.05Pb(I0.98Br0.02)3,PC61BM,PIN,BCP,Potassium (4-tert-butoxycarbonylpiperazin-1-yl) methyl trifluoroborate (PTFBK),23.3,1.128,24.99,1.171,"{'test_name': 'Thermal stability', 'temperature': 85, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 60, 'retained_percentage_tret': 87}","{'test_name': 'Humidity stability', 'temperature': 60, 'time': 1500, 'humidity': 70, 'retained_percentage_cont': 70, 'retained_percentage_tret': 90}",,,,"{'test_name': 'Mechanical stability', 'temperature': None, 'time': 5000, 'humidity': None, 'retained_percentage_cont': 65, 'retained_percentage_tret': 85}",,,,,,,,,,,,,,,,,,,,,Potassium [4-(tert-butoxycarbonyl)piperazin-1-yl]methyltrifluoroborate,C(C)(C)(C)OC(=O)N1CCN(CC1)C[B-](F)(F)F.[K+]
189,Cs2AgBiBr6,,,,Hydroxylamine hydrochloride (HaHc),0.74,0.76,1.99,1.02,"{'test_name': 'Stability test', 'temperature': 27, 'time': '25 days', 'humidity': '70% RH', 'retained_percentage_cont': 80, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylamine hydrochloride,Cl.NO
191,,,,,N-(4-Cyanophenyl) guanidine hydrochloride,,,23.3,0.87,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 330, 'humidity': 50, 'retained_percentage_cont': 190, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,N-(4-cyanophenyl)guanidine hydrochloride,Cl.C(#N)C1=CC=C(C=C1)NC(=N)N
193,,,,,Guanidinium Bromide,18.9,1.0,20.6,1.02,"[{'test_name': 'Stability Test', 'temperature': 25, 'time': 10, 'humidity': None, 'retained_percentage_cont': 65.5, 'retained_percentage_tret': 81.5}]",,,,,,,,,,,,,,,,,,,,,,,,,,guanidinium bromide,[Br-].NC(=[NH2+])N
194,,,,,p-Phenylenediaminium iodide (PHAI),,,,,"{'test_name': 'ISOS-D', 'temperature': 26, 'time': 1400, 'humidity': None, 'retained_percentage_cont': 88, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,p-Phenylenediammonium iodide,[I-].C1(=CC=C(C=C1)[NH3+])[NH3+].[I-]
202,,,,,BiOBr,,,,,"{'test_name': 'UV irradiation', 'temperature': None, 'time': 78, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Bismuth oxybromide,O(Br)Br.[Bi]
206,,,,,5-(Difluoromethoxy)-2-mercapto-1H-benzimidazole (DMB),12.7,0.93,14.4,0.98,"{'test_name': 'Environmental stability test', 'temperature': '15-25°C', 'time': '1200 hours', 'humidity': '25-50% relative humidity', 'retained_percentage_cont': 66, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,,5-(Difluoromethoxy)-2-mercaptobenzimidazole,FC(OC1=CC2=C(N=C(N2)S)C=C1)F
208,FA 0.8 MA 0.15 Cs 0.05 PbI2Br,,,spiro-OMeTAD,InCl3,16.06,1.06,17.54,1.13,"{'test_name': 'Voltage scanning', 'temperature': None, 'time': '25 days', 'humidity': None, 'retained_percentage_cont': 2.88, 'retained_percentage_tret': None}","{'test_name': 'Storage', 'temperature': None, 'time': '4 times', 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,Indium chloride,[Cl-].[In+3].[Cl-].[Cl-]
209,,c-TiO2,,,TiCl4,5.38,793.5,7.12,879.6,"{'test_name': 'stability test', 'temperature': 35, 'time': 1344, 'humidity': '50-60%', 'retained_percentage_cont': 75.84, 'retained_percentage_tret': 84.27}","{'test_name': 'stability test', 'temperature': 35, 'time': 1344, 'humidity': '50-60%', 'retained_percentage_cont': 75.84, 'retained_percentage_tret': 85.5}",,,,,,,,,,,,,,,,,,,,,,,,,titanium tetrachloride,[Ti](Cl)(Cl)(Cl)Cl
210,,,,,thiosemicarbazide,,,,,"{'test_name': 'ISOS-L', 'temperature': None, 'time': 500, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,aminothiourea,NNC(=S)N
212,,,,,KCl,,,,,"{'test_name': 'Stability test under ambient conditions', 'temperature': 25, 'time': 1000, 'humidity': 15, 'retained_percentage_cont': 93.3, 'retained_percentage_tret': 93.2}","{'test_name': 'Bending test', 'temperature': 25, 'time': 2000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 93.2}",,,,"{'test_name': 'Stability test with 3D polymer network', 'temperature': 25, 'time': 20000, 'humidity': None, 'retained_percentage_cont': 92, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,potassium chloride,[Cl-].[K+]
