Unnamed: 0,perovskite_composition,electron_transport_layer,pin_nip_structure,hole_transport_layer,passivating_molecule,control_pce,control_voc,treated_pce,treated_voc,test_1,test_2,structure_pin_nip,treated_jsc,treated_ff,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,control_jsc,control_ff,control_pec,treated_eqe,treated_stabilized_pce,control_fill_factor,treated_fill_factor,controljsc,treatedjsc,treated_hysteresis_index,binding_energy,fill_factor,treated_iscc,IUPAC_passivator
29,FAPbBr3-xI_x (FA = CH(NH2)2),,,,Molybdenum-sulfur-containing precursor,,,4.63,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,Urea,25.7,,30.0,,"{'test_name': 'Environmental stress test', 'temperature': 800, 'time': 800, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,Urea
31,MAPbI3,,,,Oxygen (O2),,,19.4,1161.0,"{'test_name': 'Moisture and Oxygen Exposure', 'temperature': 45, 'time': 60, 'humidity': 45, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,Oxygen
34,MAPbI3,SnO2,NIP,Spiro-OMeTAD,4-fluorobenzamine trifluoroacetate,19.19,1.09,21.01,1.13,"{'test_name': 'ISOS-T', 'temperature': 45, 'time': 500, 'humidity': '45%', 'retained_percentage_cont': 48.0, 'retained_percentage_tret': 80.5}",,,,,,,,,,,,,,,,,,,,,,,,,,4-fluorobenzenamine trifluoroacetate
35,Cs0.05MA0.15FA0.8Pb(I1-xBr_x)_3,SnO2,,PTAA,Cs0.05MA0.15FA0.8Pb(I1-xBr_x)_3,18.93,,25.65,,"{'test_name': 'stability test', 'temperature': 85, 'time': 1200, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,Oleylammonium chloride (OAmCl),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oleylammonium chloride
39,CsPbBr3,SnO2,PIN,Carbon paste,2-thiopheneacetic acid (TPA),9.08,1.558,11.23,1.6720000000000002,"{'test_name': 'Operational stability tracked', 'temperature': 85, 'time': 50, 'humidity': 0, 'retained_percentage_cont': 80, 'retained_percentage_tret': 87}","{'test_name': 'Moisture resistance', 'temperature': 85, 'time': 50, 'humidity': 85, 'retained_percentage_cont': 79, 'retained_percentage_tret': 89}",,,,"{'test_name': 'Thermal stability', 'temperature': 85, 'time': 120, 'humidity': 0, 'retained_percentage_cont': 15, 'retained_percentage_tret': 120}",,,,,,,,,,,,,,,,,,,,,2-thiopheneacetic acid
40,,,,,Siloxane-based self-assembled molecule with nitrile group,26.1,,97.0,,"{'test_name': 'Moisture stability test', 'temperature': 40, 'time': 200, 'humidity': 40, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,Phenethylammonium iodide (PEAI),15.0,0.942,19.3,1.14,"{'test_name': 'MPPT', 'temperature': 40, 'time': 900, 'humidity': None, 'retained_percentage_cont': 30, 'retained_percentage_tret': 90}","{'test_name': 'Thermal', 'temperature': 65, 'time': 700, 'humidity': None, 'retained_percentage_cont': 50, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,phenethylammonium iodide
43,,,,,Potassium laurate (KLA),14.35,0.992,16.1,1.041,"{'test_name': None, 'temperature': '20-25°C', 'time': 60, 'humidity': '50-60%', 'retained_percentage_cont': 64, 'retained_percentage_tret': 85}",,,,,,,,,,,,,,,,,,,,,,,,,,
44,FAPbI3,FTO,NIP,Spiro-OMeTAD,KCFSO,24.22,,25.11,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 3500, 'humidity': 30, 'retained_percentage_cont': 90, 'retained_percentage_tret': 68}","{'test_name': 'ISOS-T', 'temperature': 55, 'time': 600, 'humidity': None, 'retained_percentage_cont': 74, 'retained_percentage_tret': 88}",,,,"{'test_name': 'ISOS-LC', 'temperature': 25, 'time': 500, 'humidity': 50, 'retained_percentage_cont': 60, 'retained_percentage_tret': 88}",,,,,,,,,,,,,,,,,,,,,
45,(5-AVA) x (MA) 1-x PbI3,,,,(5-AVA)x(MA)1-x PbI3,,,,,"{'test_name': 'Temperature-dependent PCE', 'temperature': 40, 'time': None, 'humidity': None, 'retained_percentage_cont': 13.34, 'retained_percentage_tret': None}","{'test_name': 'Temperature-dependent PCE', 'temperature': 30, 'time': None, 'humidity': None, 'retained_percentage_cont': 9.1, 'retained_percentage_tret': None}",,,,"{'test_name': 'Temperature-dependent PCE', 'temperature': 50, 'time': None, 'humidity': None, 'retained_percentage_cont': 8.56, 'retained_percentage_tret': None}","{'test_name': 'Temperature-dependent PCE', 'temperature': 60, 'time': None, 'humidity': None, 'retained_percentage_cont': 6.2, 'retained_percentage_tret': None}","{'test_name': 'Temperature-dependent PCE', 'temperature': 70, 'time': None, 'humidity': None, 'retained_percentage_cont': 2, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,
46,CH3NH3PbI3,PCBM,NIP,NiOx,TPPP(Cl),16.9,1.08,20.2,1.12,"{'test_name': 'ambient_stability', 'temperature': 25, 'time': 30, 'humidity': '10-30%', 'retained_percentage_cont': 89, 'retained_percentage_tret': None}","{'test_name': 'thermal_stability', 'temperature': 85, 'time': 150, 'humidity': 'N2', 'retained_percentage_cont': 59, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,
47,,NiO_x,NIP,C60/BCP,"1-iodobutane, 1-phenylethylamine, PbI2",13.0,,15.0,,"{'test_name': 'Operational stability test', 'temperature': 25, 'time': 50, 'humidity': None, 'retained_percentage_cont': 30, 'retained_percentage_tret': 50}",,,,,,,,,,,,,,,,,,,,,,,,,,
48,FA 0.8 Cs 0.2 Pb(I 0.6 Br 0.4)3,,,,2-ThMAI,,,19.44,1.327,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 500, 'humidity': None, 'retained_percentage_cont': 70, 'retained_percentage_tret': 94}",,,,,,,,,,,,,,,,,,,,,,,,,,
49,FA0.1Cs0.6MA0.3Pb0.5Sn0.5I3,PEDOT:PSS,NIP,C60/BCP/Ag,EDAI2 and GlyHCl,19.6,0.79,23.6,0.89,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 200, 'humidity': 'dry', 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,bis(trifluoromethane)sulfonimide (TFSI),17.3,,17.7,,"{'test_name': 'ISOS-L-1', 'temperature': 25, 'time': 18, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,bis(trifluoromethane)sulfonimide
51,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,SnO2,PIN,Spiro-OMeTAD,Tetramethylguanidine hydrochloride (TMGHCL),20.12,1.05,22.0,1.12,"{'test_name': 'ISOS-LT', 'temperature': 25, 'time': 16, 'humidity': 35, 'retained_percentage_cont': None, 'retained_percentage_tret': 93.29}",,,,,,,,,,,,,,,,,,,,,,,,,,Tetramethylguanidine hydrochloride
52,,,,,polymerized-fluorocarbon coating (PPFC),,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
53,CsPbBr3,,,,MnCl2,,,,,"{'stability_type': 'Stability test', 'temperature': None, 'time': 24, 'humidity': None, 'retained_proportion_cont': 70.0, 'retained_proportion_tret': 65.0}",,,,,,,,,,,,,,,,,,,,,,,,,,Manganese(II) chloride
54,,,,,MPA-TB-CA,,,,,"{'test_name': 'test_1', 'temperature': 65, 'time': 15, 'humidity': 60, 'retained_percentage_cont': 96, 'retained_percentage_tret': 88}",,,,,,,,,,,,,,,,,,,,,,,,,,
55,FAPbI3,,,,Methylammonium chloride,,,,,"{'test_name': None, 'temperature': None, 'time': 150000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 50}",,,,,,,,,,,,,,,,,,,,,,,,,,Methylammonium chloride
56,,,,,MBene,,,24.22,1.16,"{'stability_type': 'aging', 'temperature': '3000 h in nitrogen atmosphere', 'time': 3000, 'humidity': 'low (controlled environment)', 'retained_proportion_cont': 87.47, 'retained_proportion_tret': 94.34}","{'stability_type': 'humidity', 'temperature': '50-60% RH', 'time': 40, 'humidity': '50-60', 'retained_proportion_cont': 15.63, 'retained_proportion_tret': 85.39}",,,,,,,,,,,,,,,,,,,,,,,,,
58,CsPbI2Br,PCBM,NIP,NiOx,2-thiophenemethylammonium iodide (TM),11.19,0.97,15.07,1.16,"{'test_name': 'Stability test', 'temperature': 20, 'time': 1752, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 97.07}",,,,,,,,,,,,,,,,,,,,,,,,,,2-thiophenemethylammonium iodide
59,,,,,Lead carbanion complex,,,25.16,1.17,"{'test_name': None, 'temperature': None, 'time': 600, 'humidity': 60, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
60,FA0.2MA0.8PbI3 and (FAPbI3)0.95(MAPbBr3)0.05,SnO2,,Spiro-OMeTAD,MBene,20.35,1.104,22.34,1.173,"{'test_name': 'High humidity stability', 'temperature': 40, 'time': 200, 'humidity': 50, 'retained_percentage_cont': 88.3, 'retained_percentage_tret': None}","{'test_name': 'Thermal stability', 'temperature': 85, 'time': 200, 'humidity': None, 'retained_percentage_cont': 93, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,Tryptophan,,,,,"{'test_name': 'ISOS-L', 'temperature': None, 'time': 23, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,L-tryptophan
62,,,,,EDABr2,,,,,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 24, 'humidity': 50, 'retained_percentage_cont': 85, 'retained_percentage_tret': 85}",,,,,,,,,,,,,,,,,,,,,,,,,,
64,,ZnO,,PbS-EDT,PbX2 (halide ligands),,,12.53,0.64,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
67,MAPbI3,,,,sodium dodecyl sulfate (SDS),18.1,0.905,20.7,0.955,"{'test_name': 'Humidity stability test', 'temperature': 30, 'time': 600, 'humidity': '30-40%', 'retained_percentage_cont': 80, 'retained_percentage_tret': 97.1}",,,,,,,,,,,,,,,,,,,,,,,,,,sodium dodecyl sulfate
68,MAPbI3,PCBM,PIN,NiOx,cetyl pyridinium bromide (CPB),18.27,1.09,20.53,1.12,"{'test_name': 'stability', 'temperature': '30 days', 'time': '30 days', 'humidity': '80 %', 'retained_percentage_cont': 46, 'retained_percentage_tret': 68}",,,,,,,,,,,,,,,,,,,,,,,,,,Cetylpyridinium bromide
70,,,,,2-ADAHCl,,,24.57,1.18,"{'test_name': 'ISOS-L', 'temperature': 20, 'time': 1041, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 92}","{'test_name': 'ISOS-T', 'temperature': 20, 'time': 792, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 99}",,,,,,,,,,,,,,,,,,,,,,,,,
71,,C60 and ALD-SnO2,,NiOx and self-assembled molecules,"C60, SnO2, NiOx, and self-assembled molecules",,,,,"{'test_name': 'ISOS-L-3', 'temperature': 65, 'time': 300, 'humidity': 50, 'retained_percentage_cont': 80, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,Chlorin e6 (CE-6),18.81,1.09,21.14,1.12,"{'test_name': 'Stability test', 'temperature': 25, 'time': 500, 'humidity': None, 'retained_percentage_cont': 70, 'retained_percentage_tret': 84}",,,,,,,,,,,,,,,,,,,,,,,,,,chlorin e6
74,FA 0.8 Cs 0.2 Pb(I 0.8 Br 0.2) 3,Me-4PACz,PIN,PCBM,1-methyl-2-thio-1H-imidazole-5-carboxylate (SMC),19.81,1.176,23.45,1.275,"{'test_name': 'ISOS-LC', 'temperature': 50, 'time': 600, 'humidity': None, 'retained_percentage_cont': 94, 'retained_percentage_tret': 94}",,,,,,,,,,,,,,,,,,,,,,,,,,1-methyl-2-sulfanyl-1H-imidazole-5-carboxylate
75,CH(NH2)2PbI3 (FAPbI3),SnO2,NIP,Spiro-OMeTAD,DB24C8 and HABr,22.02,1.12,24.17,1.14,"{'test_name': 'PCE evolution', 'temperature': 25, 'time': 1700, 'humidity': 35, 'retained_percentage_cont': 55, 'retained_percentage_tret': 92}","{'test_name': 'Contact angle', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,
77,ASnI2Br,C60,NIP,PEDOT:PSS,PhSiH3,3.65,0.52,5.5,0.64,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,phenylsilane
78,B-2D perovskite,C60,PIN,SnO2,B-2D passivation (ACI and RP phases),30.65,1.877,30.65,1.877,"{'test_name': 'MPP tracking', 'temperature': 25, 'time': 230, 'humidity': '25% RH', 'retained_percentage_cont': 92, 'retained_percentage_tret': 92}","{'test_name': 'Damp-heat testing', 'temperature': 85, 'time': 1000, 'humidity': '85% RH', 'retained_percentage_cont': 98, 'retained_percentage_tret': 98}",,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,poly(N-isopropylacrylamide) microgels (MGs),,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
80,CsPbIBr2,TiO2,NIP,Carbon,Na2SiO3,8.62,1.17,10.85,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,Sodium metasilicate
81,,,,PTAA,2-thenoylacetonitrile (2-T-OACN),19.4,,23.3,,"{'test_name': 'Stability test', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,2-Thiophenoylacetonitrile
82,Cs 0.05 MA 0.02 FA 0.93 Pb(I 0.98 Br 0.02 ) 3,PCBM,NIP,MeO-2PACz,DPEPO,22.26,1.11,24.17,1.15,"{'test_name': 'Ambient stability', 'temperature': '25 °C', 'time': '900 h', 'humidity': '20%-30%', 'retained_percentage_cont': 92, 'retained_percentage_tret': None}","{'test_name': 'Thermal stability', 'temperature': '85 °C', 'time': '800 h', 'humidity': 'N2 atmosphere', 'retained_percentage_cont': 77, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,
83,AgBiS2,ZnO,NIP,P3HT,TMABr,,,2.43,0.41,"{'test_name': 'TPV', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 75, 'retained_percentage_tret': 80}","{'test_name': 'TPJ', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 70, 'retained_percentage_tret': 85}",,,,"{'test_name': 'Impedance Spectroscopy', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 65, 'retained_percentage_tret': 75}",,,,,,,,,,,,,,,,,,,,,Tetramethylammonium bromide
84,,,,,CzCy,19.48,1.09,20.51,1.13,"{'test_name': 'stability', 'temperature': 25, 'time': 1400, 'humidity': '30-40% RH', 'retained_percentage_cont': 75, 'retained_percentage_tret': 88}",,,,,,,,,,,,,,,,,,,,,,,,,,
85,FASnI3,C60,NIP,PEDOT:PSS,NiNH2OEP,,,9.6,0.607,"{'test_name': None, 'temperature': None, 'time': 6000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,YZ-302,22.2,1.11,23.8,1.16,"{'test_name': 'Storage stability', 'temperature': 35, 'time': 1200, 'humidity': 50.55, 'retained_percentage_cont': 80, 'retained_percentage_tret': None}","{'test_name': 'Thermal stability', 'temperature': 85, 'time': 100, 'humidity': 30.35, 'retained_percentage_cont': None, 'retained_percentage_tret': 70}",,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,Dual-additive strategy using 1-aminopyridinium iodide (PyNI) and 5-aminovaleric acid (5AVA),,,,,"{'test_name': 'Stability test', 'temperature': 20, 'time': '17 hours', 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,
89,MAPbI3,HfO2,NIP,Au,P-(NDI2OD-T2),,,,,"{'test_name': 'Bias stress', 'temperature': 25, 'time': 6, 'humidity': 30, 'retained_percentage_cont': 0, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,
90,CH3NH3PbI3,,n-i-p,PTAA,PTAA,,,16.19,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,Cellulose acetate (CA),,,19.53,,"{'stability_type': 'Stability test', 'temperature': 35, 'time': 3300, 'humidity': 'null', 'retained_proportion_cont': 90.0, 'retained_proportion_tret': None}","{'stability_type': 'Stability test', 'temperature': 35, 'time': 3300, 'humidity': 'null', 'retained_proportion_cont': 90.0, 'retained_proportion_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,cellulose acetate
92,FAPbBr3,,,,Phosphoethanolamine (PEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-aminoethyl dihydrogen phosphate
93,CsPbBr3,SnO2,NIP,,CdS,8.16,1.467,10.61,1.611,"{'test_name': 'stability', 'temperature': 120, 'time': 30, 'humidity': 50, 'retained_percentage_cont': 85, 'retained_percentage_tret': 85}",,,,,,,,,,,,,,,,,,,,,,,,,,
94,,TiO2,n-i-p,Spiro-OMeTAD,CPT,22.14,1.156,23.14,1.175,"{'test_name': 'stability', 'temperature': 30, 'time': 1000, 'humidity': '30-50', 'retained_percentage_cont': 68.5, 'retained_percentage_tret': 91.9}",,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,SnI2,,,6.75,,"{'test_name': 'ISOS-L', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,Tin(II) iodide
97,,,,,formamidinium iodide (FAI),13.59,,15.1,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 1176, 'humidity': '30-35%', 'retained_percentage_cont': 87, 'retained_percentage_tret': 93}","{'test_name': 'ISOS-D-2', 'temperature': 85, 'time': 60, 'humidity': None, 'retained_percentage_cont': 23, 'retained_percentage_tret': 53}",,,,"{'test_name': 'UV', 'temperature': 365, 'time': 70, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,Formamidinium iodide
98,,,,,ZnO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc oxide
100,(5-AVA) x (MA) 1Àx PbI 3,SnO2,,,hydroxypropyl-β-cyclodextrin (HPβCD),9.38,,14.04,,"{'test_name': 'TPC/TPV', 'temperature': None, 'time': 12, 'humidity': None, 'retained_percentage_cont': 70, 'retained_percentage_tret': 85}",,,,,,,,,,,,,,,,,,,,,,,,,,hydroxypropyl-β-cyclodextrin
