id,year,title,json_output
10,2024,Interface Passivation of a Pyridine-Based Bifunctional Molecule for Inverted Perovskite Solar Cells,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': 'NiO_x', 'pin_nip_structure': 'PIN', 'hole_transport_layer': '2PACz', 'passivating_molecule': 'DPDC', 'control_pce': 18.64, 'control_voc': 1097.7, 'treated_pce': 21.37, 'treated_voc': 1113.3, 'test_1': {'test_name': 'Stability test', 'temperature': 60, 'time': 300, 'humidity': 60, 'retained_percentage_cont': 20, 'retained_percentage_tret': 80}}"
11,2024,Mechanical and charge transport properties of alkanethiol self-assembled monolayers on Au (111) surface: The Role of Molecular Tilt,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': None, 'control_pce': None, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': {'test_name': 'Humidity stability test', 'temperature': 25, 'time': 30, 'humidity': 90, 'retained_percentage_cont': 70, 'retained_percentage_tret': 85}, 'test_2': {'test_name': 'Light-soiling test', 'temperature': 60, 'time': 1000, 'humidity': 30, 'retained_percentage_cont': 92, 'retained_percentage_tret': 88}}"
12,2024,Microstress for metal halide perovskite solar cells: from source to influence and management,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Chen et al. introduced Rb2CO3 layer at the SnO2/perovskite interface', 'control_pce': None, 'control_voc': None, 'treated_pce': 21.1, 'treated_voc': 1.17, 'test_1': {'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}}"
13,2024,Back interface engineering by 2D layered N-Ti 3 C 2 in low-cost carbon based all-inorganic hole transport layer free perovskite solar cells,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'N-Ti 3 C 2', 'control_pce': 5.94, 'control_voc': 1.117, 'treated_pce': 8.91, 'treated_voc': 1.28, 'test_1': {'test_name': 'ambient stability', 'temperature': 30, 'time': 30, 'humidity': None, 'retained_percentage_cont': 84.9, 'retained_percentage_tret': 86.3}}"
14,2024,Polymer stabilized SnO2 quantum-dot electron transporters for efficient perovskite solar cells,"{'perovskite_composition': 'FAPbI3', 'electron_transport_layer': 'paa-QD-SnO2', 'pin_nip_structure': 'n-i-p', 'hole_transport_layer': 'spiro-OMeTAD', 'passivating_molecule': 'PAA', 'control_pce': None, 'control_voc': None, 'treated_pce': 25.7, 'treated_voc': 1.177, 'test_1': {'test_name': 'Stability test', 'temperature': 25, 'time': 1000, 'humidity': 25, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}}"
15,2024,Application of Hole-Selective Self-Assembled Monolayers in Inverted Perovskite Solar Cells,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'MeO-2PACz', 'control_pce': None, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': {'test_name': 'MPP tracking test', 'temperature': 45, 'time': 800, 'humidity': 'ambient', 'retained_percentage_cont': 95, 'retained_percentage_tret': None}}"
16,2024,The work has been published in Advanced Energy Materials,"{'perovskite_composition': 'CH3NH3PbI3', 'electron_transport_layer': 'C60', 'pin_nip_structure': None, 'hole_transport_layer': 'NiOx', 'passivating_molecule': None, 'control_pce': 19, 'control_voc': 1.31, 'treated_pce': None, 'treated_voc': None, 'test_1': None}"
17,2024,Bimolecular Passivation-Dipole Bridge for Highly Efficient Inverted Perovskite Solar Cells with Low Nonradiative Recombination Loss,"{'perovskite_composition': None, 'electron_transport_layer': 'PCBM', 'pin_nip_structure': 'PIN', 'hole_transport_layer': 'MeO-2PACz', 'passivating_molecule': 'SPM/PEAI', 'control_pce': 21.74, 'control_voc': 1.092, 'treated_pce': 25.12, 'treated_voc': 1.193, 'test_1': {'test_name': 'ISOS-L', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 90}}"
18,2024,Advancements and future directions in defect passivation for perovskite solar cells,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': '2-Mercaptopyrimidine', 'control_pce': None, 'control_voc': None, 'treated_pce': 21.7, 'treated_voc': 1.12, 'test_1': {'test_name': 'stability', 'temperature': None, 'time': 97, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 90.0}}"
19,2024,PASCAL: the perovskite automated spin coat assembly line accelerates composition screening in triple-halide perovskite alloys †,"{'perovskite_composition': 'MA x FA 0.78 Cs 0.22-x Pb(I 0.8-y-z Br y Cl z ) 3', 'electron_transport_layer': 'MeO-2PACz', 'pin_nip_structure': 'NIP', 'hole_transport_layer': None, 'passivating_molecule': None, 'control_pce': None, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': {'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}}"
20,2024,Iodine (I) Expulsion at Photoirradiated Mixed Halide Perovskite Interface. Should I Stay or Should I Go?,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Imidazole', 'control_pce': None, 'control_voc': None, 'treated_pce': 20.14, 'treated_voc': None, 'test_1': None}"
21,2024,Minimization of Energy Level Mismatch of PCBM and Surface Passivation for Highly Stable Sn-Based Perovskite Solar Cells by Doping n-Type Polymer,"{'perovskite_composition': None, 'electron_transport_layer': 'PCBM', 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'N2200', 'control_pce': 11.95, 'control_voc': 0.72, 'treated_pce': 12.98, 'treated_voc': 0.79, 'test_1': {'test_name': 'ISOS-D', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 90}}"
22,2024,Enhanced Performance of Sn-Based Perovskite Photodetectors Through Double-Sided Passivation for Near-Infrared Applications,"{'perovskite_composition': 'FASnI3', 'electron_transport_layer': 'PCBM', 'pin_nip_structure': 'PIN', 'hole_transport_layer': 'PEDOT', 'passivating_molecule': 'BDAI2', 'control_pce': None, 'control_voc': None, 'treated_pce': 0.37, 'treated_voc': None, 'test_1': {'test_name': 'shelf_stability', 'temperature': None, 'time': 220, 'humidity': None, 'retained_percentage_cont': 91.33, 'retained_percentage_tret': 100}, 'test_2': {'test_name': 'on_off_stability', 'temperature': None, 'time': 1000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}}"
23,2024,Defects passivation in chloride-iodide perovskite solar cell with chlorobenzylammonium halides,"{'perovskite_composition': 'FA 0.6 MA 0.4 PbI2.7 Cl0.3', 'electron_transport_layer': 'SnO2', 'pin_nip_structure': 'NIP', 'hole_transport_layer': 'Spiro-OMeTAD', 'passivating_molecule': '4-chlorobenzylammonium chloride (75%) and 4-chlorobenzylammonium bromide (25%)', 'control_pce': 18.31, 'control_voc': 1.06, 'treated_pce': 21.0, 'treated_voc': 1.12, 'test_1': {'test_name': 'ISOS-L', 'temperature': None, 'time': 672, 'humidity': None, 'retained_percentage_cont': 78, 'retained_percentage_tret': 88}}"
24,2024,Thermal Unequilibrium of Strained Black CsPbI 3 Thin Films,"{'perovskite_composition': 'CsPbI3', 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'HI', 'control_pce': 2.9, 'control_voc': None, 'treated_pce': 1.7, 'treated_voc': None, 'test_1': {'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}}"
25,2024,Film-forming polymer nanoparticle strategy for improving the passivation and stability of perovskite solar cells †,"{'perovskite_composition': 'FA0.75MA0.25PbI3', 'electron_transport_layer': 'TiO2/ITO', 'pin_nip_structure': 'NIP', 'hole_transport_layer': 'Spiro-OMeTAD', 'passivating_molecule': 'poly(2-(2-methoxyethoxy)ethylmethacrylate)', 'control_pce': 18.4, 'control_voc': None, 'treated_pce': 20.08, 'treated_voc': None, 'test_1': {'test_name': 'shelf-life', 'temperature': 25, 'time': 210, 'humidity': 35, 'retained_percentage_cont': 25, 'retained_percentage_tret': 480}}"
26,2024,Dopant-free molecular hole transport material that mediates a 20% power conversion efficiency in a perovskite solar cell,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': 'DFH', 'passivating_molecule': 'DFH', 'control_pce': 20.6, 'control_voc': None, 'treated_pce': 20.6, 'treated_voc': None, 'test_1': {'test_name': 'Stability test', 'temperature': 135, 'time': 20, 'humidity': None, 'retained_percentage_cont': 19.3, 'retained_percentage_tret': 19.3}}"
27,2024,Ambipolar Charge Carrier Transport Properties at the SBLC-induced 2D/3D Halide Perovskite Interface,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'S-benzyl-L-cysteine', 'control_pce': None, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': {'test_name': 'ISOS-L', 'temperature': 200, 'time': 24, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}}"
28,2024,A-D-A-type Molecule with Dual Functions of Efficient Charge Extraction and Trap Passivation for n-i-p Perovskite Solar Cells,"{'perovskite_composition': 'FAPbI3', 'electron_transport_layer': 'Spiro-OMeTAD', 'pin_nip_structure': 'n-i-p', 'hole_transport_layer': 'ITO/SnO2', 'passivating_molecule': 'DTPA-CN', 'control_pce': 22.78, 'control_voc': 1.143, 'treated_pce': 25.0, 'treated_voc': 1.175, 'test_1': {'test_name': 'Long-term storage stability', 'temperature': 25, 'time': 2040, 'humidity': None, 'retained_percentage_cont': 61, 'retained_percentage_tret': 90}}"
29,2024,Simultaneous Defect Passivation and Co-Catalyst Engineering Leads to Superior Photocatalytic Hydrogen Evolution on Metal Halide Perovskites,"{'perovskite_composition': 'FAPbBr3-xI_x (FA = CH(NH2)2)', 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Molybdenum-sulfur-containing precursor', 'control_pce': None, 'control_voc': None, 'treated_pce': 4.63, 'treated_voc': None, 'test_1': {'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}}"
30,2024,"Tailoring perovskite crystallization and interfacial passivation in efficient, fully textured perovskite silicon tandem solar cells","{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Urea', 'control_pce': 25.7, 'control_voc': None, 'treated_pce': 30.0, 'treated_voc': None, 'test_1': {'test_name': 'Environmental stress test', 'temperature': 800, 'time': 800, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}}"
31,2024,"This is the author manuscript accepted for publication and has undergone full peer review but has not been through the copyediting, typesetting, pagination and proofreading process, which may lead to differences between this version and the Version of Record. Please cite this article as","{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Oxygen (O2)', 'control_pce': None, 'control_voc': None, 'treated_pce': 19.4, 'treated_voc': 1161, 'test_1': {'test_name': 'Moisture and Oxygen Exposure', 'temperature': 45, 'time': 60, 'humidity': 45, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}}"
32,2024,"Strain in Halide Perovskite Solar Cells: Origins, Impacts, and Regulation","{
  ""perovskite_composition"": ""Halide perovskite"",
  ""electron_transport_layer"": ""SnO2"",
  ""pin_nip_structure"": ""NIP"",
  ""hole_transport_layer"": ""spiro-MeOTCDT"",
  ""passivating_molecule"": null,
  ""control_pce"": 26.1,
  ""control_voc"": 1.55,
  ""treated_pce"": 33.9,
  ""treated_voc"": 1.44,
  ""test_1"": {
    ""test_name"": ""ISOS-D"",
    ""temperature"": 85,
    ""time"": 500,
    ""humidity"": 25%,
    ""retained_percentage_cont"": 70,
    ""retained_percentage_tret"": 85
  }
}"
33,2024,Measuring metal halide perovskite single cell degradation consistent with module-based conditions †,"{'perovskite_composition': 'FA0.87MA0.08Cs0.05Pb(I0.92Br0.08)3', 'electron_transport_layer': 'C60/bathocuproine', 'pin_nip_structure': 'PIN', 'hole_transport_layer': 'NiOx/PTAA', 'passivating_molecule': None, 'control_pce': None, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': {'test_name': 'ISOS-L-2I', 'temperature': 55, 'time': 168, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}}"
34,2024,Efficient and stable perovskite solar cells via surface defect passivation using 4-fluorobenzamine trifluoroacetate †,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': 'SnO2', 'pin_nip_structure': 'NIP', 'hole_transport_layer': 'Spiro-OMeTAD', 'passivating_molecule': '4-fluorobenzamine trifluoroacetate', 'control_pce': 19.19, 'control_voc': 1.09, 'treated_pce': 21.01, 'treated_voc': 1.13, 'test_1': {'test_name': 'ISOS-T', 'temperature': 45, 'time': 500, 'humidity': '45%', 'retained_percentage_cont': 48.0, 'retained_percentage_tret': 80.5}}"
35,2024,Halide-Diffusion-Assisted Perovskite Lamination Process for Semitransparent Perovskite Solar Cells,"{'perovskite_composition': 'Cs0.05MA0.15FA0.8Pb(I1-xBr_x)_3', 'electron_transport_layer': 'SnO2', 'pin_nip_structure': None, 'hole_transport_layer': 'PTAA', 'passivating_molecule': 'Cs0.05MA0.15FA0.8Pb(I1-xBr_x)_3', 'control_pce': 18.93, 'control_voc': None, 'treated_pce': 25.65, 'treated_voc': None, 'test_1': {'test_name': 'stability test', 'temperature': 85, 'time': 1200, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}}"
36,2024,Supporting Information for CuInS 2 Decorated Perovskite Nano-architecture: Halide-Driven Energy and Electron Transfer,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Oleylammonium chloride (OAmCl)', 'control_pce': None, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': None}"
37,2024,"Charge Dynamics and Defect States under ""Spot-Light"": Spectroscopic Insights into Halide Perovskite Solar Cells","{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': None, 'control_pce': None, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': {'test_name': 'ISOS-D', 'temperature': 25, 'time': '1 hour', 'humidity': None, 'retained_percentage_cont': 85, 'retained_percentage_tret': 90}}"
38,2024,Multiscale Simulations Facilitate the Design of High-Performance Perovskite Solar Cells,"{'perovskite_composition': 'CsPbI3', 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': None, 'control_pce': 18.56, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': {'test_name': 'Nt', 'temperature': 300, 'time': 1, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}}"
39,2024,Cross-layer all-interface defect passivation with pre-buried additive toward efficient all-inorganic perovskite solar cells,"{'perovskite_composition': 'CsPbBr3', 'electron_transport_layer': 'SnO2', 'pin_nip_structure': 'PIN', 'hole_transport_layer': 'Carbon paste', 'passivating_molecule': '2-thiopheneacetic acid (TPA)', 'control_pce': 9.08, 'control_voc': 1.558, 'treated_pce': 11.23, 'treated_voc': 1.672, 'test_1': {'test_name': 'Operational stability tracked', 'temperature': 85, 'time': 50, 'humidity': 0, 'retained_percentage_cont': 80, 'retained_percentage_tret': 87}, 'test_2': {'test_name': 'Moisture resistance', 'temperature': 85, 'time': 50, 'humidity': 85, 'retained_percentage_cont': 79, 'retained_percentage_tret': 89}, 'test_3': {'test_name': 'Thermal stability', 'temperature': 85, 'time': 120, 'humidity': 0, 'retained_percentage_cont': 15, 'retained_percentage_tret': 120}}"
40,2024,"Towards Stable, 30% Efficient Perovskite Solar Cells","{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Siloxane-based self-assembled molecule with nitrile group', 'control_pce': 26.1, 'control_voc': None, 'treated_pce': 97, 'treated_voc': None, 'test_1': {'test_name': 'Moisture stability test', 'temperature': 40, 'time': 200, 'humidity': 40, 'retained_percentage_cont': None, 'retained_percentage_tret': 100}}"
41,2024,Investigation of bandgap grading on performances of perovskite solar cell using SCAPS-1D and impedance spectroscopy,"{'perovskite_composition': 'CH3NH3PbI3', 'electron_transport_layer': 'ZnO', 'pin_nip_structure': 'PIN', 'hole_transport_layer': 'NiOx', 'passivating_molecule': None, 'control_pce': 19.24, 'control_voc': 1.61, 'treated_pce': None, 'treated_voc': None, 'test_1': None, 'test_2': None}"
42,2024,Enhancing efficiency through surface passivation of carbon-based perovskite solar cells,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Phenethylammonium iodide (PEAI)', 'control_pce': 15.0, 'control_voc': 0.942, 'treated_pce': 19.3, 'treated_voc': 1.14, 'test_1': {'test_name': 'MPPT', 'temperature': 40, 'time': 900, 'humidity': None, 'retained_percentage_cont': 30, 'retained_percentage_tret': 90}, 'test_2': {'test_name': 'Thermal', 'temperature': 65, 'time': 700, 'humidity': None, 'retained_percentage_cont': 50, 'retained_percentage_tret': 90}}"
43,2024,Dual-sites passivation for efficient and stable carbon-based perovskite solar cells,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Potassium laurate (KLA)', 'control_pce': 14.35, 'control_voc': 0.992, 'treated_pce': 16.1, 'treated_voc': 1.041, 'test_1': {'test_name': None, 'temperature': '20-25°C', 'time': 60, 'humidity': '50-60%', 'retained_percentage_cont': 64, 'retained_percentage_tret': 85}}"
44,2024,Surface Passivation with Tailoring Organic Potassium Salt for Efficient FAPbI 3 Perovskite Solar Cells and Modules,"{'perovskite_composition': 'FAPbI3', 'electron_transport_layer': 'FTO', 'pin_nip_structure': 'NIP', 'hole_transport_layer': 'Spiro-OMeTAD', 'passivating_molecule': 'KCFSO', 'control_pce': 24.22, 'control_voc': None, 'treated_pce': 25.11, 'treated_voc': None, 'test_1': {'test_name': 'ISOS-D', 'temperature': 25, 'time': 3500, 'humidity': 30, 'retained_percentage_cont': 90, 'retained_percentage_tret': 68}, 'test_2': {'test_name': 'ISOS-T', 'temperature': 55, 'time': 600, 'humidity': None, 'retained_percentage_cont': 74, 'retained_percentage_tret': 88}, 'test_3': {'test_name': 'ISOS-LC', 'temperature': 25, 'time': 500, 'humidity': 50, 'retained_percentage_cont': 60, 'retained_percentage_tret': 88}}"
45,2024,Impact of pre and post-perovskite infiltration treatments on monolithic perovskite solar cell performance,"{'perovskite_composition': '(5-AVA) x (MA) 1-x PbI3', 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': '(5-AVA)x(MA)1-x PbI3', 'control_pce': None, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': {'test_name': 'Temperature-dependent PCE', 'temperature': 40, 'time': None, 'humidity': None, 'retained_percentage_cont': 13.34, 'retained_percentage_tret': None}, 'test_2': {'test_name': 'Temperature-dependent PCE', 'temperature': 30, 'time': None, 'humidity': None, 'retained_percentage_cont': 9.1, 'retained_percentage_tret': None}, 'test_3': {'test_name': 'Temperature-dependent PCE', 'temperature': 50, 'time': None, 'humidity': None, 'retained_percentage_cont': 8.56, 'retained_percentage_tret': None}, 'test_4': {'test_name': 'Temperature-dependent PCE', 'temperature': 60, 'time': None, 'humidity': None, 'retained_percentage_cont': 6.2, 'retained_percentage_tret': None}, 'test_5': {'test_name': 'Temperature-dependent PCE', 'temperature': 70, 'time': None, 'humidity': None, 'retained_percentage_cont': 2, 'retained_percentage_tret': None}}"
46,2024,Additive engineering enabled non-radiative defect passivation with improved moisture-resistance in efficient and stable perovskite solar cells,"{'perovskite_composition': 'CH3NH3PbI3', 'electron_transport_layer': 'PCBM', 'pin_nip_structure': 'NIP', 'hole_transport_layer': 'NiOx', 'passivating_molecule': 'TPPP(Cl)', 'control_pce': 16.9, 'control_voc': 1.08, 'treated_pce': 20.2, 'treated_voc': 1.12, 'test_1': {'test_name': 'ambient_stability', 'temperature': 25, 'time': 30, 'humidity': '10-30%', 'retained_percentage_cont': 89, 'retained_percentage_tret': None}, 'test_2': {'test_name': 'thermal_stability', 'temperature': 85, 'time': 150, 'humidity': 'N2', 'retained_percentage_cont': 59, 'retained_percentage_tret': 80}}"
